%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.lla0,field.lla1,field.lla2,field.position0,field.position1,field.position2,field.horizontal_accuracy,field.vertical_accuracy,field.velocity0,field.velocity1,field.velocity2,field.speed_accuracy
1564692202998048393,6,1564692202997475790,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692202998113867,7,1564692202997499571,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203096362823,8,1564692203095765762,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203096430867,9,1564692203095786754,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203196521140,10,1564692203195979000,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203196598346,11,1564692203196002148,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203297071011,12,1564692203296472206,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203297160536,13,1564692203296500607,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203397298360,14,1564692203396569117,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203397416090,15,1564692203396597303,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203496139176,16,1564692203495675922,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203496166084,17,1564692203495701750,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203603434321,18,1564692203603014006,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203603575805,19,1564692203603041021,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203702057619,20,1564692203701139424,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
1564692203702204825,21,1564692203701714942,,0,40.2465075,-111.6489668,1409.722,-179890253.0,-453218877.0,409982620.0,1.327,0.938,0.0,0.0,0.0,320.0
