%time,field.header.seq,field.header.stamp,field.header.frame_id,field.dur,field.meanXYZ0,field.meanXYZ1,field.meanXYZ2,field.meanAcc,field.obs,field.meanXYZHP0,field.meanXYZHP1,field.meanXYZHP2,field.valid,field.active
1564692202998136127,3,1564692202997608315,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203096577590,4,1564692203095802795,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203196707646,5,1564692203196022344,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203297277216,6,1564692203296527359,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203397391174,7,1564692203396620652,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203496165889,8,1564692203495728882,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203603853787,9,1564692203603440977,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203702293263,10,1564692203701785144,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203797753200,11,1564692203797070214,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203897743633,12,1564692203897060072,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692203998546395,13,1564692203997888976,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204096587290,14,1564692204095969863,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204196381671,15,1564692204195679686,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204296158701,16,1564692204295637472,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204395590278,17,1564692204394896539,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204494437975,18,1564692204493889917,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204604102149,19,1564692204603643925,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204701313081,20,1564692204700787524,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204800250436,21,1564692204799806095,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204898454322,22,1564692204897774532,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692204996399166,23,1564692204995878037,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205097606962,24,1564692205096888080,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205198201016,25,1564692205197645909,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205296572632,26,1564692205296054538,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205396316573,27,1564692205395551186,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205497053851,28,1564692205496555325,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205606003777,29,1564692205605475147,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205699499993,30,1564692205698994543,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205798387879,31,1564692205797685489,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205897640950,32,1564692205897005955,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692205997841344,33,1564692205997126604,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206097824008,34,1564692206097123142,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206198958751,35,1564692206198751751,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206296770267,36,1564692206296661066,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206397396800,37,1564692206397116484,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206495809575,38,1564692206495552653,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206605843615,39,1564692206605122643,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206699839692,40,1564692206699077574,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206797867790,41,1564692206797523163,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206898303486,42,1564692206897986968,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692206998220196,43,1564692206997609932,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207097207459,44,1564692207096281109,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207197406436,45,1564692207196525922,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207298242253,46,1564692207297474404,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207397408047,47,1564692207396975813,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207496769509,48,1564692207495946896,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207608419315,49,1564692207607531612,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207701485752,50,1564692207700246741,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207798742510,51,1564692207797848985,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207898450121,52,1564692207897735094,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692207996236043,53,1564692207995502294,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208095240936,54,1564692208094324718,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208196825873,55,1564692208196297192,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208296174438,56,1564692208295375106,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208397045351,57,1564692208396280171,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208496884767,58,1564692208495794711,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208603359781,59,1564692208602395548,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208699704140,60,1564692208698835915,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208798071122,61,1564692208797514573,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208897011454,62,1564692208896273404,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692208995468606,63,1564692208994709196,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209097072304,64,1564692209095964556,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209195992865,65,1564692209195130315,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209296675990,66,1564692209295876978,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209397267853,67,1564692209396343696,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209496368761,68,1564692209495235346,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209606245673,69,1564692209605424361,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209701558921,70,1564692209700572238,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209800381408,71,1564692209799314632,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209897317251,72,1564692209896315529,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692209998587192,73,1564692209998102124,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210098447238,74,1564692210097466367,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210198459494,75,1564692210197593531,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210300021417,76,1564692210299352536,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210398590470,77,1564692210397533475,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210498976742,78,1564692210498443146,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210606119440,79,1564692210605213998,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210699772932,80,1564692210698661650,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210797238636,81,1564692210796284812,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210898413992,82,1564692210897766261,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692210997300326,83,1564692210996411344,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211098419858,84,1564692211097371114,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211198793696,85,1564692211198090382,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211297231239,86,1564692211296238705,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211396811238,87,1564692211395794244,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211496815326,88,1564692211495941236,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211605432813,89,1564692211604357810,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211698626086,90,1564692211697659947,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211797690342,91,1564692211797364234,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211898339619,92,1564692211897465226,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692211999733418,93,1564692211999032951,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212099633509,94,1564692212098590008,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212199757642,95,1564692212198741814,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212298054944,96,1564692212297228634,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212399516876,97,1564692212398536749,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212497607254,98,1564692212496853502,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212602950319,99,1564692212602471433,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212700710084,100,1564692212699754884,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212798622101,101,1564692212797572060,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
1564692212898699729,102,1564692212897549088,,119,41150770.43,38417484.19,4099826.2,16249,1189,0.002,0.251,0.242,1,0
