%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1564692202997967640,3,1564692202997369329,,2019,8,1,20,43,26,400404939,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203096360709,4,1564692203095698356,,2019,8,1,20,43,26,500404894,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203196700052,5,1564692203195918264,,2019,8,1,20,43,26,600404849,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203297072672,6,1564692203296404226,,2019,8,1,20,43,26,700404805,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203397052376,7,1564692203396501644,,2019,8,1,20,43,26,800404760,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203496086926,8,1564692203495611945,,2019,8,1,20,43,26,900404715,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203603431216,9,1564692203602954918,,2019,8,1,20,43,27,404671,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203701583572,10,1564692203701071690,,2019,8,1,20,43,27,100404626,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203797423165,11,1564692203796983692,,2019,8,1,20,43,27,200404581,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203897552553,12,1564692203896970209,,2019,8,1,20,43,27,300404537,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692203998104516,13,1564692203997642838,,2019,8,1,20,43,27,400404492,1,55,5,1,234,28,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204096198809,14,1564692204095760080,,2019,8,1,20,43,27,500404447,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204196073557,15,1564692204195586085,,2019,8,1,20,43,27,600404403,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204295972297,16,1564692204295527155,,2019,8,1,20,43,27,700404358,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204395248760,17,1564692204394768022,,2019,8,1,20,43,27,800404314,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204494241639,18,1564692204493788029,,2019,8,1,20,43,27,900404269,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204603808004,19,1564692204603446162,,2019,8,1,20,43,28,404224,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204701164259,20,1564692204700628881,,2019,8,1,20,43,28,100404180,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204800034635,21,1564692204799599533,,2019,8,1,20,43,28,200404135,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204898127768,22,1564692204897658447,,2019,8,1,20,43,28,300404090,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692204996228767,23,1564692204995781411,,2019,8,1,20,43,28,400404046,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205097166528,24,1564692205096670380,,2019,8,1,20,43,28,500404001,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205198082148,25,1564692205197551270,,2019,8,1,20,43,28,600403956,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205296403132,26,1564692205295966447,,2019,8,1,20,43,28,700403912,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205395980105,27,1564692205395450462,,2019,8,1,20,43,28,800403867,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205496429716,28,1564692205496097035,,2019,8,1,20,43,28,900403822,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205605661935,29,1564692205605196662,,2019,8,1,20,43,29,403778,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205699263799,30,1564692205698853715,,2019,8,1,20,43,29,100403733,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205798049916,31,1564692205797512326,,2019,8,1,20,43,29,200403688,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205897317665,32,1564692205896861138,,2019,8,1,20,43,29,300403644,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692205997493247,33,1564692205997039046,,2019,8,1,20,43,29,400403599,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206097629568,34,1564692206097032182,,2019,8,1,20,43,29,500403554,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206198908182,35,1564692206198681756,,2019,8,1,20,43,29,600403510,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206296749905,36,1564692206296572631,,2019,8,1,20,43,29,700403465,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206397156885,37,1564692206396771797,,2019,8,1,20,43,29,800403420,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206495456110,38,1564692206495139589,,2019,8,1,20,43,29,900403376,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206605721996,39,1564692206605034433,,2019,8,1,20,43,30,403331,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206699322377,40,1564692206698918190,,2019,8,1,20,43,30,100403286,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206797701417,41,1564692206797224540,,2019,8,1,20,43,30,200403242,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206898038365,42,1564692206897643325,,2019,8,1,20,43,30,300403197,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692206997966687,43,1564692206997495866,,2019,8,1,20,43,30,400403153,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207096830852,44,1564692207096160437,,2019,8,1,20,43,30,500403108,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207196794930,45,1564692207196215497,,2019,8,1,20,43,30,600403063,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207298039866,46,1564692207297271645,,2019,8,1,20,43,30,700403019,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207396896751,47,1564692207396390449,,2019,8,1,20,43,30,800402974,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207496411466,48,1564692207495833416,,2019,8,1,20,43,30,900402930,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207608161186,49,1564692207607353893,,2019,8,1,20,43,31,402885,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
1564692207701038107,50,1564692207700131731,,2019,8,1,20,43,31,100402840,1,55,5,1,234,27,40.2465075,-111.6489668,1409.722,1428.497,1.327,0.938,0.0,0.0,0.0,0.0,0.0,320.0,61.45472,99.99,0.0
