%time,field.header.seq,field.header.stamp,field.header.frame_id,field.values0,field.values1,field.values2,field.values3,field.values4,field.values5,field.values6,field.values7
1564692282616588587,21,1564692282613367808,,0,0,0,0,0,0,0,0
1564692282639017922,22,1564692282633367808,,0,0,0,0,0,0,0,0
1564692282656628325,23,1564692282653367808,,0,0,0,0,0,0,0,0
1564692282678670319,24,1564692282674666752,,0,0,0,0,0,0,0,0
1564692282698816566,25,1564692282694666752,,0,0,0,0,0,0,0,0
1564692282719579408,26,1564692282714666752,,0,0,0,0,0,0,0,0
1564692282737413983,27,1564692282734666752,,0,0,0,0,0,0,0,0
1564692282755921321,28,1564692282753510144,,0,0,0,0,0,0,0,0
1564692282778977252,29,1564692282773510144,,0,0,0,0,0,0,0,0
1564692282798727282,30,1564692282793510144,,0,0,0,0,0,0,0,0
1564692282818677316,31,1564692282813510144,,0,0,0,0,0,0,0,0
1564692282838678310,32,1564692282833510144,,0,0,0,0,0,0,0,0
1564692282856677763,33,1564692282853510144,,0,0,0,0,0,0,0,0
1564692282878807592,34,1564692282875321088,,0,0,0,0,0,0,0,0
1564692282898921963,35,1564692282895321088,,0,0,0,0,0,0,0,0
1564692282918732327,36,1564692282915321088,,0,0,0,0,0,0,0,0
1564692282938817156,37,1564692282935321088,,0,0,0,0,0,0,0,0
1564692282956125678,38,1564692282954187520,,0,0,0,0,0,0,0,0
1564692282978766809,39,1564692282974187520,,0,0,0,0,0,0,0,0
1564692282998747802,40,1564692282994187520,,0,0,0,0,0,0,0,0
1564692283018765671,41,1564692283014187520,,0,0,0,0,0,0,0,0
1564692283038739831,42,1564692283034187520,,0,0,0,0,0,0,0,0
1564692283056184897,43,1564692283054238464,,0,0,0,0,0,0,0,0
1564692283078751110,44,1564692283074238464,,0,0,0,0,0,0,0,0
1564692283098792938,45,1564692283094238464,,0,0,0,0,0,0,0,0
1564692283118866017,46,1564692283114238464,,0,0,0,0,0,0,0,0
1564692283140629671,47,1564692283134238464,,0,0,0,0,0,0,0,0
1564692283158441120,48,1564692283155681792,,0,0,0,0,0,0,0,0
1564692283180776495,49,1564692283175681792,,0,0,0,0,0,0,0,0
1564692283200856574,50,1564692283195681792,,0,0,0,0,0,0,0,0
1564692283220766274,51,1564692283215681792,,0,0,0,0,0,0,0,0
1564692283240804268,52,1564692283235681792,,0,0,0,0,0,0,0,0
1564692283257574112,53,1564692283255849216,,0,0,0,0,0,0,0,0
1564692283280724629,54,1564692283275849216,,0,0,0,0,0,0,0,0
1564692283300669371,55,1564692283295849216,,0,0,0,0,0,0,0,0
1564692283320843910,56,1564692283315849216,,0,0,0,0,0,0,0,0
1564692283340742694,57,1564692283335849216,,0,0,0,0,0,0,0,0
1564692283357598081,58,1564692283356274432,,0,0,0,0,0,0,0,0
1564692283380735889,59,1564692283376274432,,0,0,0,0,0,0,0,0
1564692283400697757,60,1564692283396274432,,0,0,0,0,0,0,0,0
1564692283420727793,61,1564692283416274432,,0,0,0,0,0,0,0,0
1564692283440794371,62,1564692283436274432,,0,0,0,0,0,0,0,0
1564692283457600091,63,1564692283456897280,,0,0,0,0,0,0,0,0
1564692283481011696,64,1564692283476897280,,0,0,0,0,0,0,0,0
1564692283500742893,65,1564692283496897280,,0,0,0,0,0,0,0,0
1564692283520933724,66,1564692283516897280,,0,0,0,0,0,0,0,0
1564692283540737672,67,1564692283536897280,,0,0,0,0,0,0,0,0
1564692283557647644,68,1564692283557208832,,0,0,0,0,0,0,0,0
1564692283580914288,69,1564692283577208832,,0,0,0,0,0,0,0,0
