%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1564692282688776735,3,1564692282688316267,,2019,8,1,20,44,42,599871503,1,55,3,3,234,26,40.2465451,-111.6489804,1406.33,1425.105,0.18,0.297,-0.012,-0.006,-0.036,0.014,205.66775,0.102,180.0,1.13,0.0
1564692282828818941,4,1564692282828339890,,2019,8,1,20,44,42,699871451,2,55,3,131,234,26,40.2465316,-111.6489786,1409.625,1428.401,0.014,0.022,0.0,0.002,-0.009,0.002,205.66775,0.067,180.0,1.13,0.0
1564692282987727326,5,1564692282987307651,,2019,8,1,20,44,42,899871362,2,55,3,131,234,26,40.2465316,-111.6489786,1409.631,1428.407,0.014,0.021,0.004,-0.025,-0.062,0.025,205.66775,0.112,161.25292,1.13,0.0
1564692283096782355,6,1564692283096316137,,2019,8,1,20,44,43,-128682,2,55,3,131,234,26,40.2465316,-111.6489786,1409.637,1428.413,0.014,0.019,0.001,0.004,-0.052,0.004,205.66775,0.091,180.0,1.13,0.0
1564692283184868162,7,1564692283184315401,,2019,8,1,20,44,43,99871273,2,55,3,131,234,26,40.2465315,-111.6489787,1409.638,1428.414,0.014,0.018,-0.029,-0.003,-0.053,0.029,205.66775,0.099,112.52582,1.13,0.0
1564692283287787941,8,1564692283287348640,,2019,8,1,20,44,43,199871229,2,55,3,131,234,26,40.2465315,-111.6489786,1409.638,1428.413,0.014,0.019,-0.002,0.013,-0.011,0.013,205.66775,0.073,180.0,1.13,0.0
1564692283387948912,9,1564692283387380900,,2019,8,1,20,44,43,299871185,2,55,3,131,234,26,40.2465315,-111.6489786,1409.636,1428.411,0.014,0.019,-0.002,0.001,-0.013,0.003,205.66775,0.096,180.0,1.13,0.0
1564692283481391537,10,1564692283480445601,,2019,8,1,20,44,43,399871140,2,55,3,131,234,26,40.2465315,-111.6489786,1409.651,1428.426,0.014,0.018,0.006,-0.019,-0.007,0.02,205.66775,0.064,180.0,1.13,0.0
1564692283587900098,11,1564692283587394045,,2019,8,1,20,44,43,499871096,2,55,3,131,234,26,40.2465315,-111.6489786,1409.658,1428.433,0.014,0.017,0.011,0.011,-0.041,0.016,205.66775,0.083,180.0,1.13,0.0
1564692283737815006,12,1564692283737368081,,2019,8,1,20,44,43,599871055,2,55,3,131,234,26,40.2465314,-111.6489786,1409.672,1428.447,0.014,0.01,-0.017,-0.008,-0.019,0.018,205.66775,0.092,180.0,1.13,0.0
1564692283888943732,13,1564692283888462014,,2019,8,1,20,44,43,799870967,2,55,3,131,234,26,40.2465314,-111.6489786,1409.672,1428.448,0.014,0.01,-0.006,0.002,-0.049,0.006,205.66775,0.117,180.0,1.13,0.0
1564692283987864803,14,1564692283987354459,,2019,8,1,20,44,43,899870922,2,55,3,131,234,26,40.2465314,-111.6489786,1409.673,1428.448,0.014,0.01,-0.001,-0.013,-0.005,0.013,205.66775,0.065,180.0,1.13,0.0
1564692284100759119,15,1564692284100327027,,2019,8,1,20,44,44,-129121,2,55,3,131,234,26,40.2465314,-111.6489786,1409.674,1428.449,0.014,0.01,0.0,0.008,-0.004,0.008,205.66775,0.07,180.0,1.13,0.0
1564692284289873832,16,1564692284289374114,,2019,8,1,20,44,44,199870789,2,55,3,131,234,26,40.2465314,-111.6489785,1409.665,1428.44,0.014,0.01,-0.011,-0.009,0.016,0.015,205.66775,0.078,180.0,1.13,0.0
1564692284382096683,17,1564692284381599381,,2019,8,1,20,44,44,299870745,2,55,3,131,234,26,40.2465314,-111.6489785,1409.66,1428.436,0.014,0.01,0.018,0.005,0.016,0.019,205.66775,0.083,176.16368,1.13,0.0
1564692284491487302,18,1564692284490439072,,2019,8,1,20,44,44,399870701,2,55,3,131,234,26,40.2465314,-111.6489785,1409.664,1428.44,0.014,0.01,0.001,0.007,0.046,0.007,205.66775,0.085,180.0,1.13,0.0
1564692284589958072,19,1564692284589411311,,2019,8,1,20,44,44,499870656,2,55,3,131,234,26,40.2465314,-111.6489786,1409.664,1428.44,0.014,0.01,0.024,-0.015,0.024,0.028,205.66775,0.08,119.46816,1.13,0.0
1564692284689249984,20,1564692284688497427,,2019,8,1,20,44,44,599870612,2,55,3,131,234,26,40.2465314,-111.6489785,1409.669,1428.445,0.014,0.01,-0.004,0.005,-0.013,0.006,205.66775,0.085,180.0,1.13,0.0
1564692284788965613,21,1564692284788386851,,2019,8,1,20,44,44,699870568,2,55,3,131,234,26,40.2465314,-111.6489786,1409.671,1428.446,0.014,0.01,-0.01,0.002,-0.032,0.01,205.66775,0.087,180.0,1.13,0.0
1564692284884894581,22,1564692284884495240,,2019,8,1,20,44,44,799870523,2,55,3,131,234,26,40.2465314,-111.6489785,1409.67,1428.445,0.014,0.01,0.006,0.001,-0.018,0.006,205.66775,0.071,180.0,1.13,0.0
