%time,field.header.seq,field.header.stamp,field.header.frame_id,field.refStationId,field.relPosNED0,field.relPosNED1,field.relPosNED2,field.relPosLength,field.relPosHeading,field.relPosHPNED0,field.relPosHPNED1,field.relPosHPNED2,field.relPosHPLength,field.accNED0,field.accNED1,field.accNED2,field.accLength,field.accHeading,field.flags
1564692282689133992,3,1564692282688769610,,0,4.17,-1.15,3.39,5.49,6.01295248843,0.0011,-0.0054,0.0018,0.0089,0.1416,0.1104,0.2969,0.2136,0,263
1564692282829660625,4,1564692282829312118,,0,2.67,-1.0,0.09,2.85,5.92365934951,0.0046,-0.0053,0.0063,0.0089,0.01,0.01,0.0222,0.01,0,279
1564692282988095500,5,1564692282987533114,,0,2.67,-1.0,0.09,2.85,5.92302474779,0.0023,-0.0064,0.0003,0.007,0.01,0.01,0.0212,0.01,0,279
1564692283097149696,6,1564692283096626560,,0,2.67,-1.0,0.08,2.85,5.92289349903,0.0026,-0.0069,0.0046,0.0073,0.01,0.01,0.0187,0.01,0,279
1564692283186239607,7,1564692283185696221,,0,2.66,-1.0,0.08,2.85,5.92216046075,0.0099,-0.0081,0.0033,0.0051,0.01,0.01,0.0182,0.01,0,279
1564692283288127989,8,1564692283287670771,,0,2.67,-1.0,0.08,2.85,5.92304359735,0.0014,-0.0059,0.0039,0.0057,0.01,0.01,0.0189,0.01,0,279
1564692283388566883,9,1564692283387772658,,0,2.67,-1.0,0.08,2.85,5.92248369572,0.0012,-0.0076,0.0059,0.0062,0.01,0.01,0.0192,0.01,0,279
1564692283482280514,10,1564692283481719169,,0,2.66,-1.0,0.07,2.85,5.92320137511,0.0093,-0.0047,0.0011,0.003,0.01,0.01,0.0177,0.01,0,279
1564692283588726031,11,1564692283587635259,,0,2.66,-1.0,0.06,2.85,5.92274689137,0.0072,-0.0053,0.0037,0.001,0.01,0.01,0.0165,0.01,0,279
1564692283738327934,12,1564692283737598294,,0,2.65,-0.99,0.04,2.83,5.92326211257,0.006,-0.0095,0.0097,0.0083,0.01,0.01,0.01,0.01,0,279
1564692283889565786,13,1564692283888727769,,0,2.65,-1.0,0.04,2.83,5.92244460035,0.0037,-0.0011,0.0095,0.0067,0.01,0.01,0.01,0.01,0,279
1564692283988270103,14,1564692283987672174,,0,2.65,-0.99,0.04,2.83,5.92337171925,0.0063,-0.0093,0.009,0.0085,0.01,0.01,0.01,0.01,0,279
1564692284101665554,15,1564692284101326381,,0,2.65,-0.99,0.04,2.83,5.9230778058,0.0053,-0.0098,0.0079,0.0077,0.01,0.01,0.01,0.01,0,279
1564692284290405302,16,1564692284289698912,,0,2.65,-0.99,0.05,2.84,5.9237494085,0.0082,-0.0088,0.0069,0.0002,0.01,0.01,0.01,0.01,0,279
1564692284382854532,17,1564692284382397397,,0,2.65,-0.99,0.06,2.83,5.92341849407,0.0038,-0.0082,0.0014,0.006,0.01,0.01,0.01,0.01,0,279
1564692284491734265,18,1564692284490775246,,0,2.65,-0.99,0.05,2.83,5.92319509193,0.0036,-0.0088,0.0072,0.0059,0.01,0.01,0.01,0.01,0,279
1564692284591404268,19,1564692284590564668,,0,2.65,-1.0,0.05,2.83,5.92288861211,0.0046,-0.0001,0.0072,0.0073,0.01,0.01,0.01,0.01,0,279
1564692284689757911,20,1564692284688821975,,0,2.65,-0.99,0.05,2.83,5.92344502308,0.0051,-0.0086,0.0023,0.0072,0.01,0.01,0.01,0.01,0,279
1564692284790136262,21,1564692284789351454,,0,2.65,-1.0,0.05,2.83,5.92258562295,0.0052,-0.0012,0.001,0.0081,0.01,0.01,0.01,0.01,0,279
1564692284885251505,22,1564692284884767162,,0,2.65,-0.99,0.05,2.84,5.92370891686,0.0089,-0.0092,0.002,0.0009,0.01,0.01,0.01,0.01,0,279
1564692284983360851,23,1564692284982732422,,0,2.65,-0.99,0.04,2.83,5.92361885787,0.0053,-0.0081,0.0074,0.0071,0.01,0.01,0.01,0.01,0,279
1564692285095674614,24,1564692285095341815,,0,2.65,-0.99,0.05,2.83,5.92310433481,0.0019,-0.0084,0.0091,0.0043,0.01,0.01,0.01,0.01,0,279
1564692285183933675,25,1564692285183592584,,0,2.65,-0.99,0.06,2.83,5.9236900673,0.0046,-0.0077,0.0,0.0065,0.01,0.01,0.01,0.01,0,279
1564692285279794475,26,1564692285279349715,,0,2.65,-0.99,0.06,2.83,5.92371101125,0.0041,-0.0074,0.0032,0.006,0.01,0.01,0.01,0.01,0,279
1564692285389315096,27,1564692285388654750,,0,2.65,-0.99,0.05,2.83,5.92309525909,0.0048,-0.0096,0.0031,0.0073,0.01,0.01,0.01,0.01,0,279
1564692285491368815,28,1564692285490648175,,0,2.65,-0.99,0.05,2.84,5.92388833671,0.0087,-0.0086,0.0004,0.0005,0.01,0.01,0.01,0.01,0,279
1564692285591360241,29,1564692285588761522,,0,2.66,-0.99,0.05,2.84,5.9240621715,0.0006,-0.0088,0.0056,0.0025,0.01,0.01,0.01,0.01,0,279
1564692285689696884,30,1564692285688697655,,0,2.65,-0.99,0.05,2.83,5.92375848421,0.0062,-0.0081,0.0059,0.0081,0.01,0.01,0.01,0.01,0,279
1564692285788098861,31,1564692285786770750,,0,2.65,-0.99,0.05,2.83,5.92410126687,0.0051,-0.0066,0.0062,0.0065,0.01,0.01,0.01,0.01,0,279
