%time,field.header.seq,field.header.stamp,field.header.frame_id,field.armed,field.failsafe,field.rc_override,field.offboard,field.control_mode,field.error_code,field.num_errors,field.loop_time_us
1564692282655445593,4,1564692282654533282,,0,0,1,0,2,12,27264,125
1564692282755690691,5,1564692282754602210,,0,0,1,0,2,12,27268,31
1564692282856559677,6,1564692282854671638,,0,0,1,0,2,12,27272,344
1564692282955880756,7,1564692282954598980,,0,0,1,0,2,12,27276,218
1564692283056375735,8,1564692283054575364,,0,0,1,0,2,12,27280,31
1564692283157530477,9,1564692283156810003,,0,0,1,0,2,12,27284,93
1564692283257422943,10,1564692283256554050,,0,0,1,0,2,12,27288,125
1564692283357248741,11,1564692283356569018,,0,0,1,0,2,12,27292,125
1564692283457256251,12,1564692283456562861,,0,0,1,0,2,12,27296,219
1564692283557542850,13,1564692283556582122,,0,0,1,0,2,12,27300,125
1564692283657188686,14,1564692283656555006,,0,0,1,0,2,12,27306,63
1564692283759552327,15,1564692283758674351,,0,0,1,0,2,12,27310,32
1564692283859419210,16,1564692283858466898,,0,0,1,0,2,12,27314,32
1564692283959523930,17,1564692283958484867,,0,0,1,0,2,12,27318,31
1564692284059593858,18,1564692284058596296,,0,0,1,0,2,12,27322,31
1564692284160575680,19,1564692284158613306,,0,0,1,0,2,12,27326,32
1564692284263019615,20,1564692284261016324,,0,0,1,0,2,12,27330,32
1564692284362308402,21,1564692284360610159,,0,0,1,0,2,12,27334,125
1564692284461489311,22,1564692284460613085,,0,0,1,0,2,12,27338,31
1564692284562082750,23,1564692284560642137,,0,0,1,0,2,12,27342,282
1564692284661966174,24,1564692284660598730,,0,0,1,0,2,12,27348,31
1564692284764293524,25,1564692284762509154,,0,0,1,0,2,12,27352,63
1564692284863274263,26,1564692284862619916,,0,0,1,0,2,12,27356,188
1564692284963304857,27,1564692284962640635,,0,0,1,0,2,12,27360,31
1564692285063717833,28,1564692285062924275,,0,0,1,0,2,12,27362,31
1564692285163548673,29,1564692285162614737,,0,0,1,0,2,12,27366,125
1564692285265392387,30,1564692285264394534,,0,0,1,0,2,12,27370,31
1564692285365827156,31,1564692285364509087,,0,0,1,0,2,12,27374,125
1564692285465811457,32,1564692285464619350,,0,0,1,0,2,12,27378,125
1564692285565927470,33,1564692285564677236,,0,0,1,0,2,12,27382,94
1564692285666274278,34,1564692285664709413,,0,0,1,0,2,12,27388,31
1564692285767744443,35,1564692285766715672,,0,0,1,0,2,12,27392,63
1564692285867196275,36,1564692285866645972,,0,0,1,0,2,12,27396,93
1564692285967598752,37,1564692285966657149,,0,0,1,0,2,12,27400,32
1564692286067610762,38,1564692286066649159,,0,0,1,0,2,12,27404,31
1564692286168830589,39,1564692286168405163,,0,0,1,0,2,12,27408,94
1564692286267755077,40,1564692286266665637,,0,0,1,0,2,12,27412,125
1564692286368823567,41,1564692286368314890,,0,0,1,0,2,12,27416,31
1564692286469818347,42,1564692286468743700,,0,0,1,0,2,12,27420,344
1564692286570732126,43,1564692286570388785,,0,0,1,0,2,12,27424,125
1564692286669418192,44,1564692286668505882,,0,0,1,0,2,12,27430,31
1564692286770469557,45,1564692286768523767,,0,0,1,0,2,12,27434,125
1564692286869597674,46,1564692286868781449,,0,0,1,0,2,12,27438,31
1564692286973180382,47,1564692286972312281,,0,0,1,0,2,12,27442,32
1564692287072189913,48,1564692287070720592,,0,0,1,0,2,12,27446,62
1564692287171898209,49,1564692287170669350,,0,0,1,0,2,12,27450,125
1564692287271842926,50,1564692287270641485,,0,0,1,0,2,12,27454,31
1564692287371849019,51,1564692287370821790,,0,0,1,0,2,12,27458,62
1564692287473446770,52,1564692287472633629,,0,0,1,0,2,12,27462,187
1564692287573061897,53,1564692287572760766,,0,0,1,0,2,12,27464,31
1564692287675584167,54,1564692287674657315,,0,0,1,0,2,12,27470,125
1564692287774667658,55,1564692287772679076,,0,0,1,0,2,12,27474,31
1564692287874074948,56,1564692287872688628,,0,0,1,0,2,12,27478,31
1564692287974814181,57,1564692287974420882,,0,0,1,0,2,12,27482,31
1564692288075888838,58,1564692288074920068,,0,0,1,0,2,12,27486,94
1564692288175968891,59,1564692288174713949,,0,0,1,0,2,12,27490,375
1564692288276977339,60,1564692288276569164,,0,0,1,0,2,12,27494,32
1564692288299713263,61,1564692288298560823,,0,0,1,0,2,4,27496,31
1564692288376894472,62,1564692288374628384,,0,0,1,0,2,4,27498,125
1564692288476353512,63,1564692288474569309,,0,0,1,0,2,4,27502,281
1564692288578861032,64,1564692288578463816,,0,0,1,0,2,4,27506,31
1564692288677940648,65,1564692288676707039,,0,0,1,0,2,4,27512,31
1564692288777667194,66,1564692288776852552,,0,0,1,0,2,4,27516,218
1564692288879144818,67,1564692288878454012,,0,0,1,0,2,4,27520,31
1564692288977974595,68,1564692288976697486,,0,0,1,0,2,4,27524,281
1564692289079475011,69,1564692289078692078,,0,0,1,0,2,4,27528,32
1564692289181468437,70,1564692289180576377,,0,0,1,0,2,4,27532,31
1564692289279838288,71,1564692289278702431,,0,0,1,0,2,4,27536,375
1564692289379516500,72,1564692289378700150,,0,0,1,0,2,4,27540,62
1564692289481103084,73,1564692289480447154,,0,0,1,0,2,4,27544,32
1564692289580959591,74,1564692289580484164,,0,0,1,0,2,4,27548,125
1564692289681601114,75,1564692289680733346,,0,0,1,0,2,4,27554,32
1564692289782805732,76,1564692289780853733,,0,0,1,0,2,4,27558,93
1564692289882800783,77,1564692289880723741,,0,0,1,0,2,4,27562,31
1564692289981504600,78,1564692289980728751,,0,0,1,0,2,4,27566,32
1564692290081871159,79,1564692290080669301,,0,0,1,0,2,4,27570,94
1564692290184360303,80,1564692290183299323,,0,0,1,0,2,4,27572,32
1564692290284031515,81,1564692290282888116,,0,0,1,0,2,4,27576,31
1564692290383533389,82,1564692290382734831,,0,0,1,0,2,4,27580,125
1564692290484129078,83,1564692290482819801,,0,0,1,0,2,4,27584,32
1564692290584128963,84,1564692290582746143,,0,0,1,0,2,4,27588,32
1564692290685534252,85,1564692290684785570,,0,0,1,0,2,4,27592,188
1564692290787460426,86,1564692290786475448,,0,0,1,0,2,4,27596,94
1564692290885623315,87,1564692290884733880,,0,0,1,0,2,4,27600,125
1564692290985607325,88,1564692290984700848,,0,0,1,0,2,4,27604,125
1564692291085879590,89,1564692291084834277,,0,0,1,0,2,4,27608,31
1564692291185173461,90,1564692291184856162,,0,0,1,0,2,4,27612,31
1564692291287349015,91,1564692291286996758,,0,0,1,0,2,4,27616,93
1564692291387137229,92,1564692291386839473,,0,0,1,0,2,4,27620,281
1564692291487777960,93,1564692291486767856,,0,0,1,0,2,4,27624,62
1564692291588337023,94,1564692291586838368,,0,0,1,0,2,4,27628,125
1564692291687905274,95,1564692291686618540,,0,0,1,0,2,4,27634,94
1564692291792290916,96,1564692291788788552,,0,0,1,0,2,4,27638,31
1564692291889151195,97,1564692291888875564,,0,0,1,0,2,4,27642,93
1564692291990081265,98,1564692291988790739,,0,0,1,0,2,4,27646,282
1564692292090005024,99,1564692292088664621,,0,0,1,0,2,4,27650,31
1564692292189918615,100,1564692292188784550,,0,0,1,0,2,4,27654,31
1564692292292350592,101,1564692292290648890,,0,0,1,0,2,4,27658,93
1564692292391823757,102,1564692292390797778,,0,0,1,0,2,4,27662,94
1564692292491284298,103,1564692292490782121,,0,0,1,0,2,4,27666,125
1564692292591982822,104,1564692292590794465,,0,0,1,0,2,4,27670,31
1564692292691710702,105,1564692292690788558,,0,0,1,0,2,4,27674,63
1564692292791822297,106,1564692292790681399,,0,0,1,0,2,4,27678,94
1564692292893674803,107,1564692292892805494,,0,0,1,0,2,4,27682,125
1564692292994745460,108,1564692292992980466,,0,0,1,0,2,4,27686,94
1564692293094050914,109,1564692293092809472,,0,0,1,0,2,4,27690,94
1564692293194431015,110,1564692293192792940,,0,0,1,0,2,4,27694,94
1564692293293794804,111,1564692293292845743,,0,0,1,0,2,4,27698,62
1564692293396007901,112,1564692293394835627,,0,0,1,0,2,4,27702,32
1564692293495138518,113,1564692293494799511,,0,0,1,0,2,4,27706,32
1564692293596097339,114,1564692293594803229,,0,0,1,0,2,4,27710,125
1564692293696137891,115,1564692293694828406,,0,0,1,0,2,4,27716,281
1564692293795914188,116,1564692293794835083,,0,0,1,0,2,4,27720,31
1564692293897351978,117,1564692293896535919,,0,0,1,0,2,4,27724,125
1564692293997556742,118,1564692293996794685,,0,0,1,0,2,4,27728,31
1564692294099308538,119,1564692294096867946,,0,0,1,0,2,4,27732,125
1564692294198411029,120,1564692294196995042,,0,0,1,0,2,4,27736,31
1564692294297650315,121,1564692294296797673,,0,0,1,0,2,4,27740,31
1564692294399496530,122,1564692294398609178,,0,0,1,0,2,4,27744,31
1564692294500108219,123,1564692294498818276,,0,0,1,0,2,4,27748,32
1564692294599271253,124,1564692294598944996,,0,0,1,0,2,4,27752,125
1564692294699765106,125,1564692294698814212,,0,0,1,0,2,4,27758,125
1564692294799777867,126,1564692294798828264,,0,0,1,0,2,4,27762,282
1564692294900496266,127,1564692294898949859,,0,0,1,0,2,4,27766,63
1564692295001964015,128,1564692295000968036,,0,0,1,0,2,4,27770,31
1564692295103144590,129,1564692295100939920,,0,0,1,0,2,4,27774,125
1564692295201226394,130,1564692295200848553,,0,0,1,0,2,4,27778,63
1564692295302410345,131,1564692295300838480,,0,0,1,0,2,4,27780,125
1564692295401658840,132,1564692295400831114,,0,0,1,0,2,4,27784,31
1564692295504417073,133,1564692295502873999,,0,0,1,0,2,4,27788,32
1564692295604442666,134,1564692295602833383,,0,0,1,0,2,4,27792,32
1564692295703837539,135,1564692295702928395,,0,0,1,0,2,4,27798,31
1564692295803667795,136,1564692295802845820,,0,0,1,0,2,4,27802,31
1564692295903777474,137,1564692295902723703,,0,0,1,0,2,4,27806,31
1564692296004385830,138,1564692296002763672,,0,0,1,0,2,4,27810,125
1564692296106077875,139,1564692296104840766,,0,0,1,0,2,4,27814,187
1564692296205453872,140,1564692296204841484,,0,0,1,0,2,4,27818,32
1564692296305261169,141,1564692296304873703,,0,0,1,0,2,4,27822,125
1564692296406143114,142,1564692296404699793,,0,0,1,0,2,4,27826,63
1564692296505794033,143,1564692296504977558,,0,0,1,0,2,4,27830,93
1564692296607282782,144,1564692296606876690,,0,0,1,0,2,4,27834,31
1564692296708133434,145,1564692296706874325,,0,0,1,0,2,4,27840,31
1564692296807790646,146,1564692296806849376,,0,0,1,0,2,4,27844,31
1564692296908719550,147,1564692296906977972,,0,0,1,0,2,4,27848,281
1564692297008401428,148,1564692297006863188,,0,0,1,0,2,4,27852,63
1564692297108846822,149,1564692297108503690,,0,0,1,0,2,4,27856,32
1564692297209996189,150,1564692297209037961,,0,0,1,0,2,4,27860,31
