%time,field.header.seq,field.header.stamp,field.header.frame_id,field.temperature,field.variance
1564692282603036934,107,1564692282600460808,world,48.0182342529,0.0
1564692282608487004,108,1564692282604492808,world,48.053527832,0.0
1564692282614781383,109,1564692282608398808,world,48.0329399109,0.0
1564692282615277185,110,1564692282613398808,world,48.0329399109,0.0
1564692282618825550,111,1564692282616367808,world,48.053527832,0.0
1564692282624639627,112,1564692282620367808,world,48.0211753845,0.0
1564692282628595875,113,1564692282624335808,world,48.0476455688,0.0
1564692282635391431,114,1564692282629335808,world,48.0358810425,0.0
1564692282635951026,115,1564692282633367808,world,48.003528595,0.0
1564692282643152174,116,1564692282637273808,world,48.0329399109,0.0
1564692282645143340,117,1564692282641304808,world,47.9976463318,0.0
1564692282648850124,118,1564692282645242808,world,48.0270576477,0.0
1564692282654826997,119,1564692282649273808,world,48.0388221741,0.0
1564692282655163795,120,1564692282653210808,world,48.0476455688,0.0
1564692282662764368,121,1564692282658541752,world,48.0182342529,0.0
1564692282664894786,122,1564692282662478752,world,48.0329399109,0.0
1564692282668960453,123,1564692282666509752,world,48.0299987793,0.0
1564692282675034869,124,1564692282670447752,world,48.0388221741,0.0
1564692282675289416,125,1564692282674478752,world,48.0299987793,0.0
1564692282683100910,126,1564692282678416752,world,48.0388221741,0.0
1564692282684791236,127,1564692282682416752,world,48.0388221741,0.0
1564692282688726984,128,1564692282686416752,world,48.0123519897,0.0
1564692282695150699,129,1564692282690384752,world,48.0505867004,0.0
1564692282695813504,130,1564692282694384752,world,48.0417633057,0.0
1564692282703082445,131,1564692282698353752,world,48.0152931213,0.0
1564692282705111778,132,1564692282702322752,world,48.0064697266,0.0
1564692282708871564,133,1564692282706322752,world,48.0152931213,0.0
1564692282714914813,134,1564692282710291752,world,48.003528595,0.0
1564692282715515617,135,1564692282714291752,world,48.0211753845,0.0
1564692282723928206,136,1564692282718259752,world,48.0241165161,0.0
1564692282725668742,137,1564692282722322752,world,48.0152931213,0.0
1564692282728950976,138,1564692282726228752,world,48.0299987793,0.0
1564692282734797429,139,1564692282730228752,world,48.0182342529,0.0
1564692282737061809,140,1564692282734197752,world,48.0123519897,0.0
1564692282743015639,141,1564692282738197752,world,48.0123519897,0.0
1564692282745010888,142,1564692282742228752,world,47.9947052002,0.0
1564692282748826883,143,1564692282746166752,world,48.0182342529,0.0
1564692282754944426,144,1564692282750134752,world,48.003528595,0.0
