%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.lla0,field.lla1,field.lla2,field.position0,field.position1,field.position2,field.horizontal_accuracy,field.vertical_accuracy,field.velocity0,field.velocity1,field.velocity2,field.speed_accuracy
1564692282688889362,6,1564692282688420061,,0,40.2465451,-111.6489804,1406.33,-179890165.0,-453218343.0,409982719.0,0.18,0.297,2.0,0.0,0.0,0.102
1564692282688927696,7,1564692282688478729,,0,40.2465451,-111.6489804,1406.33,-179890165.0,-453218343.0,409982719.0,0.18,0.297,1.0,0.0,0.0,0.102
1564692282829130573,8,1564692282828411724,,0,40.2465316,-111.6489786,1409.625,-179890280.0,-453218673.0,409982818.0,0.014,0.022,1.0,0.0,0.0,0.067
1564692282829207366,9,1564692282828456350,,0,40.2465316,-111.6489786,1409.625,-179890280.0,-453218673.0,409982818.0,0.014,0.022,1.0,0.0,0.0,0.067
1564692282987792703,10,1564692282987372652,,0,40.2465316,-111.6489786,1409.631,-179890280.0,-453218673.0,409982818.0,0.014,0.021,1.0,0.0,0.0,0.112
1564692282988024124,11,1564692282987412611,,0,40.2465316,-111.6489786,1409.631,-179890280.0,-453218673.0,409982818.0,0.014,0.021,4.0,0.0,0.0,0.112
1564692283096857940,12,1564692283096394181,,0,40.2465316,-111.6489786,1409.637,-179890280.0,-453218673.0,409982818.0,0.014,0.019,4.0,0.0,0.0,0.091
1564692283097099945,13,1564692283096436223,,0,40.2465316,-111.6489786,1409.637,-179890280.0,-453218673.0,409982818.0,0.014,0.019,3.0,0.0,0.0,0.091
1564692283185249587,14,1564692283184395986,,0,40.2465315,-111.6489787,1409.638,-179890281.0,-453218674.0,409982818.0,0.014,0.018,3.0,0.0,0.0,0.099
1564692283185298546,15,1564692283184502655,,0,40.2465315,-111.6489787,1409.638,-179890281.0,-453218674.0,409982818.0,0.014,0.018,1.0,0.0,0.0,0.099
1564692283287847692,16,1564692283287429725,,0,40.2465315,-111.6489786,1409.638,-179890280.0,-453218674.0,409982818.0,0.014,0.019,1.0,0.0,0.0,0.073
1564692283288082572,17,1564692283287471142,,0,40.2465315,-111.6489786,1409.638,-179890280.0,-453218674.0,409982818.0,0.014,0.019,1.0,0.0,0.0,0.073
1564692283388025997,18,1564692283387477944,,0,40.2465315,-111.6489786,1409.636,-179890281.0,-453218673.0,409982818.0,0.014,0.019,1.0,0.0,0.0,0.096
1564692283388468089,19,1564692283387710824,,0,40.2465315,-111.6489786,1409.636,-179890281.0,-453218673.0,409982818.0,0.014,0.019,1.0,0.0,0.0,0.096
1564692283481651793,20,1564692283480542520,,0,40.2465315,-111.6489786,1409.651,-179890281.0,-453218675.0,409982819.0,0.014,0.018,1.0,0.0,0.0,0.064
1564692283481718169,21,1564692283480592271,,0,40.2465315,-111.6489786,1409.651,-179890281.0,-453218675.0,409982819.0,0.014,0.018,1.0,0.0,0.0,0.064
1564692283587975932,22,1564692283587478006,,0,40.2465315,-111.6489786,1409.658,-179890281.0,-453218675.0,409982819.0,0.014,0.017,1.0,0.0,0.0,0.083
1564692283588653071,23,1564692283587580758,,0,40.2465315,-111.6489786,1409.658,-179890281.0,-453218675.0,409982819.0,0.014,0.017,3.0,0.0,0.0,0.083
1564692283738787693,24,1564692283737447874,,0,40.2465314,-111.6489786,1409.672,-179890281.0,-453218677.0,409982819.0,0.014,0.01,3.0,0.0,0.0,0.092
1564692283738903612,25,1564692283737552126,,0,40.2465314,-111.6489786,1409.672,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.092
1564692283889166570,26,1564692283888543307,,0,40.2465314,-111.6489786,1409.672,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.117
1564692283889727623,27,1564692283888585016,,0,40.2465314,-111.6489786,1409.672,-179890281.0,-453218677.0,409982819.0,0.014,0.01,3.0,0.0,0.0,0.117
1564692283988054390,28,1564692283987428586,,0,40.2465314,-111.6489786,1409.673,-179890281.0,-453218677.0,409982819.0,0.014,0.01,3.0,0.0,0.0,0.065
1564692283988101516,29,1564692283987470920,,0,40.2465314,-111.6489786,1409.673,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.065
1564692284100880705,30,1564692284100394612,,0,40.2465314,-111.6489786,1409.674,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.07
1564692284101023750,31,1564692284100432487,,0,40.2465314,-111.6489786,1409.674,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.07
1564692284290131379,32,1564692284289455574,,0,40.2465314,-111.6489785,1409.665,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.078
1564692284290721183,33,1564692284289501491,,0,40.2465314,-111.6489785,1409.665,-179890281.0,-453218677.0,409982819.0,0.014,0.01,-2.0,0.0,0.0,0.078
1564692284382512941,34,1564692284381812302,,0,40.2465314,-111.6489785,1409.66,-179890281.0,-453218677.0,409982818.0,0.014,0.01,-2.0,0.0,0.0,0.083
1564692284382556025,35,1564692284381949096,,0,40.2465314,-111.6489785,1409.66,-179890281.0,-453218677.0,409982818.0,0.014,0.01,0.0,0.0,0.0,0.083
1564692284491240922,36,1564692284490527241,,0,40.2465314,-111.6489785,1409.664,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.085
1564692284491678056,37,1564692284490604575,,0,40.2465314,-111.6489785,1409.664,-179890281.0,-453218677.0,409982819.0,0.014,0.01,-3.0,0.0,0.0,0.085
1564692284590040407,38,1564692284589494813,,0,40.2465314,-111.6489786,1409.664,-179890281.0,-453218677.0,409982819.0,0.014,0.01,-3.0,0.0,0.0,0.08
1564692284590342580,39,1564692284589543064,,0,40.2465314,-111.6489786,1409.664,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.08
1564692284689547240,40,1564692284688597887,,0,40.2465314,-111.6489785,1409.669,-179890281.0,-453218677.0,409982819.0,0.014,0.01,0.0,0.0,0.0,0.085
1564692284689602033,41,1564692284688650055,,0,40.2465314,-111.6489785,1409.669,-179890281.0,-453218677.0,409982819.0,0.014,0.01,1.0,0.0,0.0,0.085
1564692284789044740,42,1564692284788472561,,0,40.2465314,-111.6489786,1409.671,-179890281.0,-453218677.0,409982819.0,0.014,0.01,1.0,0.0,0.0,0.087
1564692284789228869,43,1564692284788548438,,0,40.2465314,-111.6489786,1409.671,-179890281.0,-453218677.0,409982819.0,0.014,0.01,1.0,0.0,0.0,0.087
1564692284885233130,44,1564692284884561324,,0,40.2465314,-111.6489785,1409.67,-179890281.0,-453218677.0,409982819.0,0.014,0.01,1.0,0.0,0.0,0.071
1564692284885396550,45,1564692284884595867,,0,40.2465314,-111.6489785,1409.67,-179890281.0,-453218677.0,409982819.0,0.014,0.01,2.0,0.0,0.0,0.071
1564692284983725650,46,1564692284982574252,,0,40.2465314,-111.6489785,1409.674,-179890281.0,-453218677.0,409982819.0,0.014,0.01,2.0,0.0,0.0,0.069
1564692284983768860,47,1564692284982686171,,0,40.2465314,-111.6489785,1409.674,-179890281.0,-453218677.0,409982819.0,0.014,0.01,-2.0,0.0,0.0,0.069
