%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576082820049213355,1,1576082820048477445,,2019,12,11,16,47,0,361977,1002,247,3,1,234,25,40.2465604,-111.648961,1401.222,1419.998,0.476,0.703,0.005,-0.004,0.007,0.007,214.42603,0.08,12.05595,1.07,0.0
1576082820346099082,2,1576082820345467986,,2019,12,11,16,47,0,300361871,1002,247,3,1,234,25,40.2465604,-111.6489609,1401.234,1420.01,0.469,0.693,0.01,-0.001,-0.005,0.01,214.42603,0.04,12.05599,1.07,0.0
1576082820447102891,3,1576082820446524151,,2019,12,11,16,47,0,400361836,1002,247,3,1,234,25,40.2465603,-111.6489609,1401.23,1420.006,0.463,0.684,0.004,-0.004,-0.002,0.006,214.42603,0.037,12.05601,1.07,0.0
1576082820545261102,4,1576082820544670299,,2019,12,11,16,47,0,500361801,1002,247,3,1,234,25,40.2465603,-111.6489609,1401.225,1420.001,0.457,0.674,0.007,-0.008,0.006,0.01,214.42603,0.065,12.05603,1.07,0.0
1576082820646068127,5,1576082820645465133,,2019,12,11,16,47,0,600361766,1002,247,3,1,234,25,40.2465603,-111.6489608,1401.219,1419.994,0.45,0.666,-0.007,0.003,0.005,0.007,214.42603,0.051,12.05605,1.07,0.0
1576082820747247459,6,1576082820746684386,,2019,12,11,16,47,0,700361730,1001,247,3,1,234,25,40.2465603,-111.6489608,1401.214,1419.989,0.445,0.658,-0.006,0.003,-0.001,0.006,214.42603,0.051,12.05607,1.07,0.0
1576082820845109452,7,1576082820844508585,,2019,12,11,16,47,0,800361695,1001,247,3,1,234,25,40.2465603,-111.6489608,1401.204,1419.98,0.439,0.65,-0.003,-0.004,0.037,0.005,214.42603,0.074,12.0561,1.07,0.0
1576082820942914489,8,1576082820942265721,,2019,12,11,16,47,0,900361660,1001,247,3,1,234,25,40.2465603,-111.6489608,1401.199,1419.975,0.434,0.642,0.004,0.006,0.019,0.007,214.42603,0.071,12.05612,1.07,0.0
1576082821052900731,9,1576082821052297527,,2019,12,11,16,47,1,361624,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.195,1419.97,0.428,0.634,0.003,-0.008,0.011,0.008,214.42603,0.07,12.05615,1.07,0.0
1576082821146212086,10,1576082821145540177,,2019,12,11,16,47,1,100361589,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.187,1419.962,0.423,0.627,0.0,-0.008,0.03,0.008,214.42603,0.077,12.05618,1.07,0.0
1576082821246482801,11,1576082821245893406,,2019,12,11,16,47,1,200361554,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.181,1419.956,0.419,0.62,0.01,0.0,0.018,0.01,214.42603,0.074,12.05621,1.07,0.0
1576082821347230208,12,1576082821346633875,,2019,12,11,16,47,1,300361519,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.179,1419.955,0.414,0.613,0.015,-0.005,0.0,0.016,214.42603,0.045,12.05622,1.07,0.0
1576082821445441224,13,1576082821444923344,,2019,12,11,16,47,1,400361483,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.174,1419.95,0.409,0.607,0.001,-0.01,-0.008,0.01,214.42603,0.047,12.05624,1.07,0.0
1576082821546296772,14,1576082821545665802,,2019,12,11,16,47,1,500361448,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.17,1419.945,0.405,0.6,0.009,0.009,-0.023,0.013,214.42603,0.067,12.05626,1.07,0.0
1576082821647257016,15,1576082821646632255,,2019,12,11,16,47,1,600361413,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.164,1419.939,0.401,0.594,-0.006,-0.009,0.019,0.011,214.42603,0.069,12.05629,1.07,0.0
1576082821745380759,16,1576082821744700421,,2019,12,11,16,47,1,700361377,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.158,1419.933,0.397,0.588,0.005,0.011,0.018,0.012,214.42603,0.068,12.05632,1.07,0.0
1576082821843005757,17,1576082821842242955,,2019,12,11,16,47,1,800361342,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.154,1419.93,0.393,0.583,-0.008,-0.009,-0.005,0.012,214.42603,0.052,12.05634,1.07,0.0
1576082821947205273,18,1576082821946614689,,2019,12,11,16,47,1,900361307,1001,247,3,1,234,25,40.2465602,-111.6489608,1401.149,1419.924,0.389,0.577,0.005,0.002,0.007,0.005,214.42603,0.062,12.05636,1.07,0.0
1576082822052231071,19,1576082822051514466,,2019,12,11,16,47,2,361271,1001,247,3,1,234,25,40.2465601,-111.6489608,1401.144,1419.92,0.385,0.571,0.011,-0.002,0.019,0.011,214.42603,0.075,12.05639,1.07,0.0
1576082822146408094,20,1576082822145784076,,2019,12,11,16,47,2,100361236,1001,247,3,1,234,25,40.2465601,-111.6489608,1401.141,1419.916,0.381,0.566,0.011,-0.01,0.011,0.014,214.42603,0.069,12.05641,1.07,0.0
1576082822246588459,21,1576082822246449464,,2019,12,11,16,47,2,200361200,1001,247,3,1,234,25,40.2465601,-111.6489608,1401.135,1419.911,0.378,0.561,-0.007,0.005,0.018,0.009,214.42603,0.062,12.05644,1.07,0.0
1576082822346038680,22,1576082822345433429,,2019,12,11,16,47,2,300361165,1001,247,3,1,234,25,40.2465601,-111.6489608,1401.13,1419.905,0.374,0.556,0.015,-0.01,0.014,0.018,214.42603,0.07,12.05646,1.07,0.0
1576082822446282438,23,1576082822445533094,,2019,12,11,16,47,2,400361130,1001,247,3,1,234,25,40.2465601,-111.6489607,1401.125,1419.901,0.371,0.551,-0.005,0.009,-0.008,0.01,214.42603,0.069,12.05649,1.07,0.0
1576082822546602368,24,1576082822545856027,,2019,12,11,16,47,2,500361094,1001,247,3,1,234,25,40.2465601,-111.6489607,1401.119,1419.894,0.368,0.546,-0.01,0.005,0.006,0.011,214.42603,0.05,12.05651,1.07,0.0
1576082822645364610,25,1576082822644728701,,2019,12,11,16,47,2,600361059,1001,247,3,1,234,25,40.2465601,-111.6489607,1401.112,1419.888,0.365,0.541,0.02,-0.018,0.032,0.027,214.42603,0.074,12.05653,1.07,0.0
1576082822742574643,26,1576082822741865890,,2019,12,11,16,47,2,700361023,1001,247,3,1,234,25,40.2465601,-111.6489607,1401.109,1419.885,0.362,0.537,0.001,0.004,0.005,0.004,214.42603,0.054,12.05655,1.07,0.0
1576082822846371431,27,1576082822845760966,,2019,12,11,16,47,2,800360988,1001,247,3,1,234,25,40.24656,-111.6489607,1401.101,1419.877,0.359,0.532,-0.004,0.013,0.01,0.013,214.42603,0.057,12.05657,1.07,0.0
1576082822945214905,28,1576082822944550248,,2019,12,11,16,47,2,900360952,1001,247,3,1,234,25,40.24656,-111.6489607,1401.097,1419.872,0.356,0.528,0.01,-0.002,0.024,0.01,214.42603,0.078,12.0566,1.07,0.0
1576082823053314714,29,1576082823052679413,,2019,12,11,16,47,3,360917,1001,247,3,1,234,25,40.24656,-111.6489607,1401.094,1419.869,0.353,0.524,0.003,-0.012,0.018,0.012,214.42603,0.075,12.05663,1.07,0.0
1576082823149062319,30,1576082823148396444,,2019,12,11,16,47,3,100360881,1001,247,3,1,234,25,40.24656,-111.6489607,1401.09,1419.865,0.35,0.519,0.01,0.011,0.014,0.015,214.42603,0.063,12.05666,1.07,0.0
1576082823247226519,31,1576082823246627868,,2019,12,11,16,47,3,200360846,1001,247,3,1,234,25,40.24656,-111.6489607,1401.086,1419.862,0.347,0.516,0.009,0.0,0.006,0.009,214.42603,0.064,12.05668,1.07,0.0
1576082823348178066,32,1576082823347389257,,2019,12,11,16,47,3,300360810,1001,247,3,1,234,25,40.24656,-111.6489607,1401.081,1419.857,0.345,0.512,-0.011,-0.016,0.017,0.019,214.42603,0.062,12.0567,1.07,0.0
1576082823448168941,33,1576082823447506514,,2019,12,11,16,47,3,400360775,1001,247,3,1,234,25,40.24656,-111.6489607,1401.08,1419.855,0.342,0.508,0.008,0.009,0.004,0.012,214.42603,0.05,12.05672,1.07,0.0
1576082823546173678,34,1576082823545471095,,2019,12,11,16,47,3,500360739,1001,247,3,1,234,25,40.24656,-111.6489606,1401.077,1419.852,0.34,0.504,0.004,0.006,0.017,0.007,214.42603,0.071,12.05675,1.07,0.0
1576082823643269677,35,1576082823642552658,,2019,12,11,16,47,3,600360704,1001,247,3,1,234,25,40.24656,-111.6489606,1401.076,1419.851,0.337,0.501,0.012,-0.001,0.009,0.012,214.42603,0.064,12.05677,1.07,0.0
1576082823748024826,36,1576082823747397095,,2019,12,11,16,47,3,700360668,1001,247,3,1,234,25,40.24656,-111.6489606,1401.078,1419.854,0.335,0.497,0.005,0.002,-0.022,0.005,214.42603,0.067,12.0568,1.07,0.0
1576082823845385965,37,1576082823844609238,,2019,12,11,16,47,3,800360632,1001,247,3,1,234,25,40.24656,-111.6489606,1401.077,1419.852,0.333,0.494,0.003,0.007,-0.011,0.007,214.42603,0.058,12.05682,1.07,0.0
1576082823946271495,38,1576082823945660835,,2019,12,11,16,47,3,900360597,1001,247,3,1,234,25,40.24656,-111.6489605,1401.071,1419.846,0.33,0.491,0.0,0.012,0.015,0.012,214.42603,0.063,12.05684,1.07,0.0
1576082824053080043,39,1576082824052393783,,2019,12,11,16,47,4,360561,1001,247,3,1,234,25,40.24656,-111.6489605,1401.075,1419.85,0.328,0.487,0.008,-0.01,-0.028,0.013,214.42603,0.068,12.05687,1.07,0.0
1576082824146362226,40,1576082824145626927,,2019,12,11,16,47,4,100360526,1001,247,3,1,234,25,40.24656,-111.6489605,1401.07,1419.845,0.326,0.484,0.007,0.009,0.009,0.012,214.42603,0.059,12.05689,1.07,0.0
1576082824247293189,41,1576082824246652022,,2019,12,11,16,47,4,200360490,1001,247,3,1,234,25,40.24656,-111.6489605,1401.069,1419.844,0.324,0.481,0.008,0.004,-0.015,0.009,214.42603,0.063,12.05692,1.07,0.0
1576082824347378593,42,1576082824346824943,,2019,12,11,16,47,4,300360455,1001,247,3,1,234,25,40.24656,-111.6489605,1401.065,1419.841,0.322,0.478,-0.006,0.001,0.001,0.006,214.42603,0.044,12.05693,1.07,0.0
1576082824446027812,43,1576082824445437131,,2019,12,11,16,47,4,400360419,1001,247,3,1,234,25,40.24656,-111.6489605,1401.064,1419.839,0.32,0.475,0.008,0.018,-0.014,0.02,214.42603,0.059,12.05695,1.07,0.0
1576082824543248796,44,1576082824542518738,,2019,12,11,16,47,4,500360383,1001,247,3,1,234,25,40.24656,-111.6489605,1401.061,1419.836,0.318,0.472,0.006,-0.019,-0.002,0.02,214.42603,0.048,12.05697,1.07,0.0
1576082824647333206,45,1576082824646724716,,2019,12,11,16,47,4,600360348,1001,247,3,1,234,25,40.24656,-111.6489605,1401.057,1419.832,0.316,0.469,-0.014,-0.003,0.006,0.014,214.42603,0.045,12.05699,1.07,0.0
1576082824745430344,46,1576082824744724617,,2019,12,11,16,47,4,700360312,1001,247,3,1,234,25,40.2465601,-111.6489605,1401.057,1419.833,0.314,0.466,0.032,0.01,-0.024,0.034,214.42603,0.051,12.05701,1.07,0.0
1576082824846217306,47,1576082824845616340,,2019,12,11,16,47,4,800360277,1001,247,3,1,234,25,40.2465601,-111.6489605,1401.056,1419.831,0.312,0.463,-0.009,0.011,-0.014,0.014,214.42603,0.069,12.05703,1.07,0.0
1576082824947194663,48,1576082824946550470,,2019,12,11,16,47,4,900360241,1001,247,3,1,234,25,40.24656,-111.6489605,1401.049,1419.825,0.31,0.46,-0.012,-0.004,0.016,0.012,214.42603,0.061,12.05706,1.07,0.0
1576082825053237517,49,1576082825052525357,,2019,12,11,16,47,5,360206,1001,247,3,1,234,25,40.2465601,-111.6489605,1401.045,1419.82,0.308,0.458,0.007,0.019,0.032,0.02,214.42603,0.067,12.05708,1.07,0.0
1576082825147211854,50,1576082825146572059,,2019,12,11,16,47,5,100360170,1001,247,3,1,234,25,40.2465601,-111.6489605,1401.045,1419.82,0.306,0.455,0.022,-0.025,0.023,0.034,214.42603,0.064,12.0571,1.07,0.0
1576082825247306483,51,1576082825246594259,,2019,12,11,16,47,5,200360134,1001,247,3,1,234,25,40.2465601,-111.6489605,1401.048,1419.823,0.305,0.453,0.02,0.006,-0.01,0.021,214.42603,0.046,12.05712,1.07,0.0
1576082825345352677,52,1576082825344762338,,2019,12,11,16,47,5,300360099,1001,247,3,1,234,25,40.24656,-111.6489605,1401.038,1419.813,0.303,0.45,-0.069,0.026,0.043,0.074,214.42603,0.048,12.05715,1.07,0.0
1576082825443049668,53,1576082825442385794,,2019,12,11,16,47,5,400360063,1001,247,3,1,234,25,40.24656,-111.6489605,1401.036,1419.811,0.301,0.448,0.008,-0.012,0.022,0.014,214.42603,0.074,12.05718,1.07,0.0
1576082825547554557,54,1576082825546998013,,2019,12,11,16,47,5,500360027,1001,247,3,1,234,25,40.2465601,-111.6489604,1401.037,1419.813,0.3,0.445,0.031,0.004,-0.002,0.031,214.42603,0.047,12.0572,1.07,0.0
