%time,field.header.seq,field.header.stamp,field.header.frame_id,field.dur,field.meanXYZ0,field.meanXYZ1,field.meanXYZ2,field.meanAcc,field.obs,field.meanXYZHP0,field.meanXYZHP1,field.meanXYZHP2,field.valid,field.active
1576082820049213367,1,1576082820048619081,,0,41150774.69,38417493.56,4099825.19,8487,1,0.208,0.011,0.236,0,1
1576082820346111474,2,1576082820345570604,,0,41150774.69,38417493.56,4099825.19,11882,2,0.208,0.244,0.255,0,1
1576082820447134796,3,1576082820446604261,,0,41150774.69,38417493.56,4099825.19,16623,3,0.211,0.239,0.001,0,1
1576082820545323106,4,1576082820544753420,,1,41150774.69,38417493.56,4099825.19,18902,4,0.215,0.236,0.0,0,1
1576082820646056302,5,1576082820645543303,,1,41150774.69,38417493.56,4099825.19,20202,5,0.221,0.235,0.251,0,1
1576082820747302812,6,1576082820746762551,,1,41150774.69,38417493.56,4099825.19,21014,6,0.228,0.236,0.243,0,1
1576082820845167430,7,1576082820844592850,,1,41150774.69,38417493.56,4099825.19,21550,7,0.236,0.239,0.231,0,1
1576082820942931817,8,1576082820942349903,,1,41150774.69,38417493.56,4099825.19,21913,8,0.244,0.244,0.217,0,1
1576082821052960018,9,1576082821052378743,,1,41150774.69,38417493.56,4099825.18,22164,9,0.252,0.25,0.047,0,1
1576082821146212050,10,1576082821145621603,,1,41150774.69,38417493.56,4099825.18,22335,10,0.003,0.002,0.03,0,1
1576082821247003886,11,1576082821246497479,,1,41150774.69,38417493.56,4099825.18,22451,11,0.011,0.011,0.012,0,1
1576082821347285792,12,1576082821346724185,,1,41150774.69,38417493.56,4099825.18,22525,12,0.019,0.02,0.251,0,1
1576082821446068355,13,1576082821445633908,,1,41150774.69,38417493.56,4099825.18,22568,13,0.025,0.03,0.234,0,1
1576082821546368118,14,1576082821545765951,,2,41150774.69,38417493.56,4099825.18,22588,14,0.033,0.041,0.216,0,1
1576082821647311039,15,1576082821646723642,,2,41150774.69,38417493.57,4099825.17,22588,15,0.04,0.208,0.041,0,1
1576082821745380772,16,1576082821744793805,,2,41150774.69,38417493.57,4099825.17,22574,16,0.048,0.22,0.021,0,1
1576082821842978826,17,1576082821842345801,,2,41150774.7,38417493.57,4099825.17,22549,17,0.212,0.231,0.001,0,1
1576082821947265537,18,1576082821946696038,,2,41150774.7,38417493.57,4099825.17,22514,18,0.22,0.243,0.236,0,1
1576082822052296430,19,1576082822051615359,,2,41150774.7,38417493.57,4099825.17,22472,19,0.228,0.0,0.216,0,1
1576082822146950741,20,1576082822146476420,,2,41150774.7,38417493.57,4099825.16,22423,20,0.237,0.012,0.039,0,1
1576082822246608684,21,1576082822246484499,,2,41150774.7,38417493.57,4099825.16,22369,21,0.246,0.024,0.018,0,1
1576082822346098364,22,1576082822345516947,,2,41150774.7,38417493.57,4099825.16,22311,22,0.254,0.037,0.252,0,1
1576082822446342968,23,1576082822445629538,,2,41150774.7,38417493.57,4099825.16,22250,23,0.008,0.05,0.23,0,1
1576082822547792680,24,1576082822547122281,,3,41150774.7,38417493.58,4099825.16,22186,24,0.017,0.218,0.207,0,1
1576082822645379969,25,1576082822644803047,,3,41150774.7,38417493.58,4099825.15,22120,25,0.027,0.233,0.027,0,1
1576082822742608760,26,1576082822742044429,,3,41150774.7,38417493.58,4099825.15,22052,26,0.036,0.246,0.004,0,1
1576082822846419556,27,1576082822845836141,,3,41150774.7,38417493.58,4099825.15,21983,27,0.046,0.004,0.236,0,1
1576082822945259700,28,1576082822944627813,,3,41150774.71,38417493.58,4099825.15,21912,28,0.213,0.018,0.212,0,1
1576082823053333239,29,1576082823052795748,,3,41150774.71,38417493.58,4099825.14,21841,29,0.222,0.032,0.032,0,1
1576082823149034274,30,1576082823148490871,,3,41150774.71,38417493.58,4099825.14,21769,30,0.232,0.046,0.008,0,1
1576082823247259044,31,1576082823246709542,,3,41150774.71,38417493.59,4099825.14,21697,31,0.242,0.216,0.24,0,1
1576082823348166197,32,1576082823347495170,,3,41150774.71,38417493.59,4099825.14,21625,32,0.252,0.23,0.217,0,1
1576082823448211283,33,1576082823447584415,,3,41150774.71,38417493.59,4099825.13,21552,33,0.005,0.244,0.038,0,1
