%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576103805144263781,3,1576103805143598696,,2019,12,11,22,36,46,100426974,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805245083098,4,1576103805244150343,,2019,12,11,22,36,46,200426935,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805344620594,5,1576103805344055236,,2019,12,11,22,36,46,300426895,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805442820422,6,1576103805442156912,,2019,12,11,22,36,46,400426856,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805544309619,7,1576103805543693738,,2019,12,11,22,36,46,500426817,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805644756780,8,1576103805644223648,,2019,12,11,22,36,46,600426777,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805744118486,9,1576103805743379655,,2019,12,11,22,36,46,700426738,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805844649317,10,1576103805844021452,,2019,12,11,22,36,46,800426699,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103805944167007,11,1576103805943555834,,2019,12,11,22,36,46,900426659,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806048962535,12,1576103806048352023,,2019,12,11,22,36,47,426620,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806145067306,13,1576103806144213466,,2019,12,11,22,36,47,100426581,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806244384519,14,1576103806243614453,,2019,12,11,22,36,47,200426541,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806342453808,15,1576103806341504586,,2019,12,11,22,36,47,300426502,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806444918238,16,1576103806444256038,,2019,12,11,22,36,47,400426463,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806544223441,17,1576103806543458302,,2019,12,11,22,36,47,500426423,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806643991843,18,1576103806643417510,,2019,12,11,22,36,47,600426384,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806744379971,19,1576103806743766432,,2019,12,11,22,36,47,700426345,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806844137460,20,1576103806843483547,,2019,12,11,22,36,47,800426306,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103806944013628,21,1576103806943265350,,2019,12,11,22,36,47,900426267,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807049354269,22,1576103807048583336,,2019,12,11,22,36,48,426227,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807144020217,23,1576103807143854992,,2019,12,11,22,36,48,100426188,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807241689757,24,1576103807241530755,,2019,12,11,22,36,48,200426149,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807344823608,25,1576103807344128992,,2019,12,11,22,36,48,300426110,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807444362246,26,1576103807444034683,,2019,12,11,22,36,48,400426071,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807544336334,27,1576103807543523331,,2019,12,11,22,36,48,500426032,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807645142246,28,1576103807644033749,,2019,12,11,22,36,48,600425992,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807744806270,29,1576103807744105279,,2019,12,11,22,36,48,700425953,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807843981425,30,1576103807843371821,,2019,12,11,22,36,48,800425914,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103807944442338,31,1576103807943891235,,2019,12,11,22,36,48,900425875,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103808048927355,32,1576103808048269598,,2019,12,11,22,36,49,425836,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103808142280924,33,1576103808141517838,,2019,12,11,22,36,49,100425797,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
1576103808244247547,34,1576103808243652335,,2019,12,11,22,36,49,200425758,2,55,5,1,234,20,40.2465549,-111.6489643,1404.282,1423.057,1.522,1.076,0.0,0.0,0.0,0.0,300.07823,320.0,44.31477,99.99,0.0
