%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576083332035256696,90,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246607,-111.648989,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083333040441535,91,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246607,-111.648989,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083334043427586,92,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24661,-111.648991,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083335039978380,93,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246609,-111.648991,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083336036345249,94,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246611,-111.649003,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083337034495351,95,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246612,-111.649022,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083338033056511,96,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246612,-111.649043,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083339040778246,97,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246611,-111.649066,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083340039576948,98,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246611,-111.649084,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083341040878088,99,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246607,-111.649096,1399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083342035709296,100,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246601,-111.6491,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083343044044071,101,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246599,-111.649106,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083344050482329,102,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246598,-111.649121,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083345041155118,103,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246598,-111.649141,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083346037531117,104,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2466,-111.649154,1397.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083347036631117,105,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246598,-111.649161,1396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083348101849383,106,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246592,-111.649166,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083349034409421,107,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246583,-111.649169,1399.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083350040483109,108,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246571,-111.649169,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083351040527331,109,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246557,-111.649173,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083352043961967,110,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246543,-111.649178,1398.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083353035460660,111,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24653,-111.649182,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083354101289194,112,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246519,-111.649188,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083355044675512,113,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246508,-111.649195,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083356041542936,114,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246494,-111.649203,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083357039960775,115,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246476,-111.649207,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083358033895627,116,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24646,-111.649213,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083359031244385,117,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246438,-111.649213,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576083360040733766,118,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24642,-111.649216,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
