%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576104082028440170,162,1576104082027440071,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246588,-111.648979,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104083028536243,163,1576104083027932405,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246588,-111.648979,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104084031403127,164,1576104084030470609,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246588,-111.648979,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104085032511449,165,1576104085031946659,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246587,-111.64898,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104086034361957,166,1576104086033318758,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246591,-111.648986,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104087035612651,167,1576104087034724712,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246596,-111.648999,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104088031600047,168,1576104088030619859,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.2466,-111.649012,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104089034003538,169,1576104089032832860,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246603,-111.649027,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104090027897577,170,1576104090027216911,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246603,-111.649046,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104091031464108,171,1576104091030678749,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246604,-111.649069,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104092029777831,172,1576104092029092788,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246604,-111.649093,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104093028083118,173,1576104093026940822,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246601,-111.649118,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104094027909577,174,1576104094027032852,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246597,-111.649142,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104095028566038,175,1576104095027609348,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246591,-111.649164,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104096025849469,176,1576104096025156497,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246585,-111.649184,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104097027619885,177,1576104097026501178,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246576,-111.649196,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104098026163503,178,1576104098025634527,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246564,-111.649201,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104099026896089,179,1576104099025726795,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246552,-111.649204,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104100050048146,180,1576104100049417495,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246536,-111.649209,1403.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104101029652776,181,1576104101028317928,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246522,-111.649213,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104102030231949,182,1576104102029651165,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246507,-111.649217,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104103026516204,183,1576104103026010036,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246492,-111.649221,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104104031355619,184,1576104104030084133,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246475,-111.649227,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104105027768230,185,1576104105026559114,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.24646,-111.64923,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104106036752492,186,1576104106034086465,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246442,-111.649233,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104107031957219,187,1576104107030534505,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246424,-111.649234,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104108036934201,188,1576104108035996913,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246409,-111.649232,1401.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104109048692875,189,1576104109047997474,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246392,-111.649231,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1576104110034143012,190,1576104110033436775,,0,0,0,0,0,0,0,0,0,0,0,0,0,40.246376,-111.649229,1402.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
