%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.lla0,field.lla1,field.lla2,field.position0,field.position1,field.position2,field.horizontal_accuracy,field.vertical_accuracy,field.velocity0,field.velocity1,field.velocity2,field.speed_accuracy
1576082905191550938,1,1576082905191191230,,0,40.2465744,-111.6489711,1404.22,-179889955.0,-453218027.0,409982831.0,0.641,0.963,0.0,0.0,0.0,0.112
1576082905191769647,2,1576082905191212897,,0,40.2465744,-111.6489711,1404.22,-179889955.0,-453218027.0,409982831.0,0.641,0.963,-2.0,0.0,0.0,0.112
1576082905288398647,3,1576082905288119730,,0,40.2465738,-111.6489706,1404.172,-179889951.0,-453218029.0,409982824.0,0.612,0.925,-2.0,0.0,0.0,0.114
1576082905288510563,4,1576082905288137688,,0,40.2465738,-111.6489706,1404.172,-179889951.0,-453218029.0,409982824.0,0.612,0.925,-2.0,0.0,0.0,0.114
1576082905394471105,5,1576082905394120105,,0,40.2465734,-111.6489702,1404.129,-179889948.0,-453218030.0,409982817.0,0.586,0.891,-2.0,0.0,0.0,0.11
1576082905394649230,6,1576082905394137772,,0,40.2465734,-111.6489702,1404.129,-179889948.0,-453218030.0,409982817.0,0.586,0.891,-1.0,0.0,0.0,0.11
1576082905487306355,7,1576082905487082605,,0,40.2465729,-111.6489698,1404.106,-179889945.0,-453218033.0,409982812.0,0.564,0.863,-1.0,0.0,0.0,0.113
1576082905487443480,8,1576082905487099022,,0,40.2465729,-111.6489698,1404.106,-179889945.0,-453218033.0,409982812.0,0.564,0.863,-2.0,0.0,0.0,0.113
1576082905590399647,9,1576082905590092980,,0,40.2465727,-111.6489695,1404.03,-179889941.0,-453218030.0,409982805.0,0.543,0.833,-2.0,0.0,0.0,0.114
1576082905590449647,10,1576082905590131813,,0,40.2465727,-111.6489695,1404.03,-179889941.0,-453218030.0,409982805.0,0.543,0.833,-2.0,0.0,0.0,0.114
1576082905683356313,11,1576082905683104188,,0,40.2465726,-111.6489689,1403.993,-179889936.0,-453218030.0,409982802.0,0.526,0.808,-2.0,0.0,0.0,0.11
1576082905683387897,12,1576082905683120272,,0,40.2465726,-111.6489689,1403.993,-179889936.0,-453218030.0,409982802.0,0.526,0.808,0.0,0.0,0.0,0.11
1576082905793452105,13,1576082905793110730,,0,40.2465726,-111.6489685,1403.975,-179889932.0,-453218030.0,409982801.0,0.51,0.785,0.0,0.0,0.0,0.117
1576082905793505105,14,1576082905793127480,,0,40.2465726,-111.6489685,1403.975,-179889932.0,-453218030.0,409982801.0,0.51,0.785,-2.0,0.0,0.0,0.117
1576082905898401647,15,1576082905898107438,,0,40.2465726,-111.6489681,1403.965,-179889929.0,-453218030.0,409982800.0,0.496,0.764,-2.0,0.0,0.0,0.117
1576082905898435605,16,1576082905898124147,,0,40.2465726,-111.6489681,1403.965,-179889929.0,-453218030.0,409982800.0,0.496,0.764,-2.0,0.0,0.0,0.117
1576082905994443397,17,1576082905994106772,,0,40.2465726,-111.6489677,1403.956,-179889925.0,-453218031.0,409982800.0,0.483,0.745,-2.0,0.0,0.0,0.119
1576082905994551022,18,1576082905994125105,,0,40.2465726,-111.6489677,1403.956,-179889925.0,-453218031.0,409982800.0,0.483,0.745,-2.0,0.0,0.0,0.119
1576082906093389272,19,1576082906093099897,,0,40.2465726,-111.6489674,1403.967,-179889923.0,-453218033.0,409982800.0,0.472,0.73,-2.0,0.0,0.0,0.114
1576082906093419147,20,1576082906093117897,,0,40.2465726,-111.6489674,1403.967,-179889923.0,-453218033.0,409982800.0,0.472,0.73,-2.0,0.0,0.0,0.114
1576082906193306438,21,1576082906193082897,,0,40.2465724,-111.6489673,1403.985,-179889923.0,-453218036.0,409982800.0,0.46,0.715,-2.0,0.0,0.0,0.115
1576082906193433397,22,1576082906193100105,,0,40.2465724,-111.6489673,1403.985,-179889923.0,-453218036.0,409982800.0,0.46,0.715,-1.0,0.0,0.0,0.115
