%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576082905191496063,1,1576082905191133397,,2019,12,11,16,49,39,299629195,1003,247,3,3,234,24,40.2465744,-111.6489711,1404.22,1422.995,0.641,0.963,-0.008,0.0,0.027,0.008,322.09593,0.112,180.0,1.1,0.0
1576082905288356105,2,1576082905288087022,,2019,12,11,16,49,39,399629152,1002,247,3,3,234,24,40.2465738,-111.6489706,1404.172,1422.948,0.612,0.925,0.014,0.005,0.045,0.015,322.09593,0.114,180.0,1.1,0.0
1576082905394409772,3,1576082905394088730,,2019,12,11,16,49,39,499629110,1002,247,3,3,234,24,40.2465734,-111.6489702,1404.129,1422.904,0.586,0.891,0.02,0.016,0.042,0.026,322.09593,0.11,180.0,1.1,0.0
1576082905487262980,4,1576082905487048397,,2019,12,11,16,49,39,599629068,1002,247,3,3,234,24,40.2465729,-111.6489698,1404.106,1422.881,0.564,0.863,0.01,-0.013,0.048,0.017,322.09593,0.113,180.0,1.1,0.0
1576082905590343605,5,1576082905590062105,,2019,12,11,16,49,39,699629026,1002,247,3,3,234,24,40.2465727,-111.6489695,1404.03,1422.805,0.543,0.833,0.003,0.002,0.031,0.004,322.09593,0.114,180.0,1.1,0.0
1576082905683315688,6,1576082905683076605,,2019,12,11,16,49,39,799628984,1002,247,3,3,234,24,40.2465726,-111.6489689,1403.993,1422.768,0.526,0.808,0.014,0.008,0.021,0.017,322.09593,0.11,180.0,1.1,0.0
1576082905793379897,7,1576082905793081522,,2019,12,11,16,49,39,899628941,1002,247,3,3,234,24,40.2465726,-111.6489685,1403.975,1422.75,0.51,0.785,0.009,-0.006,0.036,0.011,322.09593,0.117,180.0,1.1,0.0
1576082905898360688,8,1576082905898077730,,2019,12,11,16,49,40,-371100,1002,247,3,3,234,24,40.2465726,-111.6489681,1403.965,1422.741,0.496,0.764,0.013,0.001,0.045,0.013,322.09593,0.117,180.0,1.1,0.0
1576082905994403272,9,1576082905994070480,,2019,12,11,16,49,40,99628857,1002,247,3,3,234,24,40.2465726,-111.6489677,1403.956,1422.732,0.483,0.745,0.008,-0.005,0.036,0.01,322.09593,0.119,180.0,1.1,0.0
1576082906093341563,10,1576082906093061105,,2019,12,11,16,49,40,199628815,1002,247,3,3,234,24,40.2465726,-111.6489674,1403.967,1422.742,0.472,0.73,0.016,0.016,0.057,0.022,322.09593,0.114,180.0,1.1,0.0
