%time,field.header.seq,field.header.stamp,field.header.frame_id,field.refStationId,field.relPosNED0,field.relPosNED1,field.relPosNED2,field.relPosLength,field.relPosHeading,field.relPosHPNED0,field.relPosHPNED1,field.relPosHPNED2,field.relPosHPLength,field.accNED0,field.accNED1,field.accNED2,field.accLength,field.accHeading,field.flags
1576083075906137084,3,1576083075905167167,,0,3.12,-1.23,-1.1,3.53,5.90703613558,0.0044,-0.004,-0.0024,0.0055,0.1707,0.1477,0.3409,0.1916,0,263
1576083076002552625,4,1576083076002151209,,0,3.11,-1.21,-1.1,3.52,5.9120026445,0.0099,-0.0043,-0.0039,0.0052,0.1698,0.147,0.3398,0.191,0,263
1576083076097580667,5,1576083076097182625,,0,3.11,-1.19,-1.11,3.51,5.91600503354,0.0005,-0.0064,-0.0063,0.0046,0.169,0.1463,0.3387,0.1909,0,263
1576083076199215875,6,1576083076199042292,,0,3.1,-1.18,-1.11,3.5,5.9193274423,0.0061,-0.0028,-0.0097,0.0072,0.1682,0.1457,0.3377,0.1904,0,263
1576083076296207334,7,1576083076296045500,,0,3.1,-1.16,-1.12,3.49,5.92360698963,0.001,-0.0057,-0.0078,0.0096,0.1675,0.1451,0.3367,0.1901,0,263
1576083076398380625,8,1576083076398106917,,0,3.09,-1.15,-1.13,3.49,5.9262138134,0.0025,-0.0033,-0.0084,0.0013,0.1667,0.1444,0.3357,0.1899,0,263
1576083076493398334,9,1576083076493148375,,0,3.08,-1.13,-1.13,3.48,5.93031184648,0.0081,-0.0073,-0.0051,0.0012,0.1659,0.1438,0.3347,0.1891,0,263
1576083076596204167,10,1576083076596043459,,0,3.08,-1.12,-1.14,3.47,5.93337455026,0.0012,-0.0041,-0.0058,0.0042,0.1652,0.1432,0.3337,0.189,0,263
1576083076697256250,11,1576083076697054292,,0,3.07,-1.1,-1.14,3.46,5.93777836502,0.0076,-0.0074,-0.0069,0.006,0.1644,0.1427,0.3327,0.1885,0,263
1576083076796525625,12,1576083076796152084,,0,3.06,-1.09,-1.15,3.45,5.94003402855,0.0091,-0.0066,-0.0049,0.0077,0.1637,0.1421,0.3318,0.1882,0,263
