%time,field.header.seq,field.header.stamp,field.header.frame_id,field.refStationId,field.relPosNED0,field.relPosNED1,field.relPosNED2,field.relPosLength,field.relPosHeading,field.relPosHPNED0,field.relPosHPNED1,field.relPosHPNED2,field.relPosHPLength,field.accNED0,field.accNED1,field.accNED2,field.accLength,field.accHeading,field.flags
1576083255906667772,4,1576083255906213272,,0,2.77,-0.81,-0.63,2.96,5.99692478085,0.0041,-0.0065,-0.0021,0.0,0.01,0.01,0.01,0.01,0,279
1576083255992228688,5,1576083255992048480,,0,2.77,-0.81,-0.63,2.96,5.99728431867,0.0053,-0.0058,-0.001,0.0008,0.01,0.01,0.01,0.01,0,279
1576083256099552772,6,1576083256099165147,,0,2.77,-0.81,-0.62,2.96,5.99803760278,0.0069,-0.004,-0.0079,0.0011,0.01,0.01,0.01,0.01,0,279
1576083256201267647,7,1576083256201070939,,0,2.77,-0.81,-0.62,2.95,5.99713771102,0.0046,-0.006,-0.0047,0.0088,0.01,0.01,0.01,0.01,0,279
1576083256299462397,8,1576083256299185605,,0,2.77,-0.81,-0.62,2.96,5.99714329607,0.006,-0.0064,-0.0084,0.001,0.01,0.01,0.01,0.01,0,279
1576083256391505564,9,1576083256391180647,,0,2.77,-0.81,-0.62,2.96,5.99779046416,0.007,-0.0048,-0.0072,0.0013,0.01,0.01,0.01,0.01,0,279
1576083256494260897,10,1576083256494065814,,0,2.77,-0.81,-0.62,2.95,5.99684519383,0.0034,-0.0066,-0.0099,0.0089,0.01,0.01,0.01,0.01,0,279
1576083256598459272,11,1576083256598179272,,0,2.77,-0.81,-0.62,2.96,5.99743371886,0.0061,-0.0056,-0.0059,0.0003,0.01,0.01,0.01,0.01,0,279
1576083256700306105,12,1576083256700098022,,0,2.77,-0.81,-0.62,2.95,5.99714818299,0.004,-0.0058,-0.0064,0.0086,0.01,0.01,0.01,0.01,0,279
1576083256800556064,13,1576083256800172355,,0,2.77,-0.81,-0.62,2.96,5.99762151629,0.0064,-0.0051,-0.0073,0.0008,0.01,0.01,0.01,0.01,0,279
1576083256906566980,14,1576083256906176355,,0,2.77,-0.81,-0.62,2.96,5.99744837962,0.0054,-0.0053,-0.0085,0.0002,0.01,0.01,0.01,0.01,0,279
1576083257003254605,15,1576083257003070897,,0,2.77,-0.81,-0.62,2.96,5.99754402367,0.0079,-0.0058,-0.0058,0.002,0.01,0.01,0.01,0.01,0,279
1576083257100460605,16,1576083257100150105,,0,2.77,-0.81,-0.62,2.95,5.99808228321,0.0051,-0.0033,-0.0083,0.0093,0.01,0.01,0.01,0.01,0,279
1576083257201202022,17,1576083257201030522,,0,2.77,-0.81,-0.63,2.96,5.99703787818,0.0069,-0.007,-0.0013,0.0026,0.01,0.01,0.01,0.01,0,279
1576083257301525189,18,1576083257301152272,,0,2.77,-0.81,-0.62,2.96,5.99790286336,0.0065,-0.0043,-0.0085,0.001,0.01,0.01,0.01,0.01,0,279
1576083257394372480,19,1576083257394134814,,0,2.77,-0.81,-0.62,2.96,5.99834896952,0.0087,-0.0036,-0.0019,0.0014,0.01,0.01,0.01,0.01,0,279
1576083257498571272,20,1576083257498161064,,0,2.77,-0.81,-0.62,2.96,5.9973289991,0.0082,-0.0065,-0.0091,0.0033,0.01,0.01,0.01,0.01,0,279
1576083257599256814,21,1576083257599056564,,0,2.77,-0.81,-0.62,2.96,5.99810532155,0.0077,-0.004,-0.0047,0.0012,0.01,0.01,0.01,0.01,0,279
1576083257698576772,22,1576083257698170772,,0,2.77,-0.81,-0.61,2.95,5.99856818287,0.0068,-0.0024,-0.0098,0.0088,0.01,0.01,0.01,0.01,0,279
1576083257797203314,23,1576083257797040772,,0,2.77,-0.81,-0.62,2.95,5.99897240113,0.0075,-0.0014,-0.0011,0.0095,0.01,0.01,0.01,0.01,0,279
1576083257907547147,24,1576083257907168189,,0,2.77,-0.81,-0.62,2.95,5.99829451524,0.0069,-0.0032,-0.0033,0.0099,0.01,0.01,0.01,0.01,0,279
1576083258005535064,25,1576083258005159397,,0,2.77,-0.81,-0.62,2.96,5.9987999626,0.0092,-0.0024,-0.0024,0.0017,0.01,0.01,0.01,0.01,0,279
1576083258099248939,26,1576083258099072689,,0,2.77,-0.81,-0.62,2.96,5.99882718973,0.0082,-0.002,0.0,0.0001,0.01,0.01,0.01,0.01,0,279
1576083258201552939,27,1576083258201214689,,0,2.77,-0.81,-0.62,2.95,5.99784003151,0.0057,-0.0042,-0.007,0.0098,0.01,0.01,0.01,0.01,0,279
1576083258294557397,28,1576083258294175064,,0,2.78,-0.81,-0.62,2.96,5.99810113276,0.002,-0.0053,-0.0008,0.0047,0.01,0.01,0.01,0.01,0,279
1576083258399236355,29,1576083258399050897,,0,2.77,-0.8,-0.62,2.96,5.99936963806,0.0065,-0.0099,-0.0099,0.0,0.01,0.01,0.01,0.01,0,279
1576083258501591772,30,1576083258501205189,,0,2.78,-0.8,-0.62,2.96,6.00085107353,0.0,-0.0064,-0.0083,0.002,0.01,0.01,0.01,0.01,0,279
1576083258600242647,31,1576083258600059105,,0,2.78,-0.8,-0.61,2.96,6.00088318759,0.0004,-0.0064,-0.0079,0.0002,0.01,0.01,0.01,0.01,0,279
