%time,field.header.seq,field.header.stamp,field.header.frame_id,field.fix,field.lla0,field.lla1,field.lla2,field.position0,field.position1,field.position2,field.horizontal_accuracy,field.vertical_accuracy,field.velocity0,field.velocity1,field.velocity2,field.speed_accuracy
1576103643171411548,6,1576103643171108548,,0,40.246582,-111.6489754,1404.895,-179889988.0,-453218011.0,409982939.0,0.014,0.016,-10.0,0.0,0.0,0.107
1576103643171590007,7,1576103643171139423,,0,40.246582,-111.6489754,1404.895,-179889988.0,-453218011.0,409982939.0,0.014,0.016,-5.0,0.0,0.0,0.107
1576103643271380548,8,1576103643271090215,,0,40.246582,-111.6489754,1404.903,-179889988.0,-453218011.0,409982940.0,0.014,0.016,-5.0,0.0,0.0,0.115
1576103643271511465,9,1576103643271107548,,0,40.246582,-111.6489754,1404.903,-179889988.0,-453218011.0,409982940.0,0.014,0.016,0.0,0.0,0.0,0.115
1576103643371351257,10,1576103643371084423,,0,40.246582,-111.6489754,1404.899,-179889988.0,-453218011.0,409982940.0,0.014,0.016,0.0,0.0,0.0,0.121
1576103643371507507,11,1576103643371100590,,0,40.246582,-111.6489754,1404.899,-179889988.0,-453218011.0,409982940.0,0.014,0.016,0.0,0.0,0.0,0.121
1576103643466370715,12,1576103643466086257,,0,40.246582,-111.6489754,1404.902,-179889988.0,-453218011.0,409982940.0,0.014,0.017,0.0,0.0,0.0,0.117
1576103643466461632,13,1576103643466102590,,0,40.246582,-111.6489754,1404.902,-179889988.0,-453218011.0,409982940.0,0.014,0.017,1.0,0.0,0.0,0.117
1576103643578415798,14,1576103643578086840,,0,40.246582,-111.6489754,1404.9,-179889988.0,-453218011.0,409982940.0,0.014,0.016,1.0,0.0,0.0,0.122
1576103643578442090,15,1576103643578126465,,0,40.246582,-111.6489754,1404.9,-179889988.0,-453218011.0,409982940.0,0.014,0.016,-1.0,0.0,0.0,0.122
1576103643674358673,16,1576103643674074257,,0,40.246582,-111.6489754,1404.904,-179889988.0,-453218011.0,409982940.0,0.014,0.016,-1.0,0.0,0.0,0.115
1576103643674476840,17,1576103643674090298,,0,40.246582,-111.6489754,1404.904,-179889988.0,-453218011.0,409982940.0,0.014,0.016,1.0,0.0,0.0,0.115
1576103643772312423,18,1576103643772078215,,0,40.246582,-111.6489754,1404.904,-179889988.0,-453218011.0,409982940.0,0.014,0.015,1.0,0.0,0.0,0.117
1576103643772409632,19,1576103643772094007,,0,40.246582,-111.6489754,1404.904,-179889988.0,-453218011.0,409982940.0,0.014,0.015,-1.0,0.0,0.0,0.117
1576103643872344798,20,1576103643872080923,,0,40.246582,-111.6489754,1404.901,-179889988.0,-453218011.0,409982940.0,0.014,0.015,-1.0,0.0,0.0,0.118
1576103643872445923,21,1576103643872099423,,0,40.246582,-111.6489754,1404.901,-179889988.0,-453218011.0,409982940.0,0.014,0.015,0.0,0.0,0.0,0.118
1576103643971490507,22,1576103643971097507,,0,40.246582,-111.6489754,1404.902,-179889988.0,-453218011.0,409982940.0,0.014,0.015,0.0,0.0,0.0,0.114
