%time,field.header.seq,field.header.stamp,field.header.frame_id,field.year,field.month,field.day,field.hour,field.min,field.sec,field.nano,field.tAcc,field.valid,field.fixType,field.flags,field.flags2,field.numSV,field.lla0,field.lla1,field.lla2,field.hMSL,field.hAcc,field.vAcc,field.velNED0,field.velNED1,field.velNED2,field.gSpeed,field.headMot,field.sAcc,field.headAcc,field.pDOP,field.headVeh
1576103712673396640,3,1576103712673081640,,2019,12,11,22,42,29,99840944,3,55,3,131,234,19,40.2465819,-111.6489757,1404.96,1423.735,0.014,0.01,0.024,-0.003,-0.026,0.024,270.54021,0.109,180.0,1.43,0.0
1576103712766333098,4,1576103712766081098,,2019,12,11,22,42,29,199840900,3,55,3,131,234,19,40.2465819,-111.6489757,1404.953,1423.728,0.014,0.01,-0.013,0.035,-0.003,0.037,270.54021,0.138,180.0,1.43,0.0
1576103712863374682,5,1576103712863093140,,2019,12,11,22,42,29,299840855,2,55,3,131,234,19,40.246582,-111.6489757,1404.954,1423.73,0.014,0.01,0.017,0.013,0.045,0.022,270.54021,0.115,180.0,1.43,0.0
1576103712971357640,6,1576103712971082307,,2019,12,11,22,42,29,399840810,3,55,3,131,234,19,40.246582,-111.6489757,1404.954,1423.729,0.014,0.01,-0.013,-0.004,0.005,0.013,270.54021,0.115,180.0,1.43,0.0
1576103713070290307,7,1576103713070053890,,2019,12,11,22,42,29,499840765,3,55,3,131,234,19,40.2465819,-111.6489757,1404.956,1423.732,0.014,0.01,0.0,-0.017,0.056,0.017,270.54021,0.108,180.0,1.43,0.0
1576103713171239182,8,1576103713171033848,,2019,12,11,22,42,29,599840720,3,55,3,131,234,19,40.246582,-111.6489757,1404.958,1423.734,0.014,0.01,0.027,0.037,0.006,0.046,270.54021,0.127,165.32122,1.43,0.0
1576103713271260723,9,1576103713271045015,,2019,12,11,22,42,29,699840675,3,55,3,131,234,19,40.246582,-111.6489757,1404.959,1423.734,0.014,0.01,0.013,-0.003,-0.02,0.013,270.54021,0.108,180.0,1.43,0.0
1576103713370278557,10,1576103713370059640,,2019,12,11,22,42,29,799840630,3,55,3,131,234,19,40.246582,-111.6489757,1404.955,1423.73,0.014,0.01,-0.049,0.01,0.034,0.05,270.54021,0.114,152.672,1.43,0.0
1576103713463332682,11,1576103713463061015,,2019,12,11,22,42,29,899840585,2,55,3,131,234,19,40.246582,-111.6489757,1404.959,1423.735,0.014,0.01,0.035,0.004,0.046,0.035,270.54021,0.116,180.0,1.43,0.0
1576103713578346682,12,1576103713578062682,,2019,12,11,22,42,30,-159459,3,55,3,131,234,19,40.2465819,-111.6489757,1404.956,1423.731,0.014,0.01,0.015,-0.004,0.012,0.015,270.54021,0.122,180.0,1.43,0.0
1576103713667294223,13,1576103713667062432,,2019,12,11,22,42,30,99840495,3,55,3,131,234,19,40.246582,-111.6489757,1404.96,1423.735,0.014,0.01,-0.007,-0.004,0.018,0.008,270.54021,0.105,180.0,1.43,0.0
1576103713772364682,14,1576103713772095765,,2019,12,11,22,42,30,199840450,3,55,3,131,234,19,40.246582,-111.6489757,1404.961,1423.736,0.014,0.01,-0.019,0.031,0.009,0.036,270.54021,0.135,180.0,1.43,0.0
1576103713870305807,15,1576103713870049515,,2019,12,11,22,42,30,299840405,3,55,3,131,234,19,40.246582,-111.6489757,1404.95,1423.725,0.014,0.01,0.024,0.013,0.032,0.027,270.54021,0.117,180.0,1.43,0.0
1576103713970249515,16,1576103713970043724,,2019,12,11,22,42,30,399840360,3,55,3,131,234,19,40.246582,-111.6489757,1404.957,1423.733,0.014,0.01,0.006,-0.007,0.053,0.009,270.54021,0.108,180.0,1.43,0.0
1576103714070270682,17,1576103714070036599,,2019,12,11,22,42,30,499840315,3,55,3,131,234,19,40.246582,-111.6489757,1404.959,1423.734,0.014,0.01,0.002,0.045,0.021,0.045,270.54021,0.131,155.29596,1.43,0.0
1576103714170305015,18,1576103714170039057,,2019,12,11,22,42,30,599840270,3,55,3,131,234,19,40.246582,-111.6489757,1404.957,1423.733,0.014,0.01,-0.016,-0.024,-0.006,0.029,270.54021,0.127,180.0,1.43,0.0
1576103714269235765,19,1576103714269037640,,2019,12,11,22,42,30,699840225,3,55,3,131,234,19,40.2465819,-111.6489757,1404.953,1423.729,0.014,0.01,0.013,0.01,0.006,0.016,270.54021,0.123,180.0,1.43,0.0
1576103714371311349,20,1576103714371041890,,2019,12,11,22,42,30,799840180,3,55,3,131,234,19,40.246582,-111.6489757,1404.953,1423.728,0.014,0.01,0.014,-0.015,0.041,0.02,270.54021,0.113,180.0,1.43,0.0
1576103714470294599,21,1576103714470047557,,2019,12,11,22,42,30,899840135,3,55,3,131,234,19,40.246582,-111.6489757,1404.958,1423.733,0.014,0.01,0.003,0.022,0.036,0.022,270.54021,0.115,180.0,1.43,0.0
1576103714573388140,22,1576103714573072974,,2019,12,11,22,42,31,-159909,3,55,3,131,234,19,40.2465819,-111.6489757,1404.954,1423.73,0.014,0.01,-0.014,0.019,-0.005,0.023,270.54021,0.135,180.0,1.43,0.0
1576103714674322682,23,1576103714674059182,,2019,12,11,22,42,31,99840045,3,55,3,131,234,19,40.246582,-111.6489757,1404.954,1423.73,0.014,0.01,-0.006,-0.028,0.025,0.029,270.54021,0.12,180.0,1.43,0.0
1576103714772253640,24,1576103714772047349,,2019,12,11,22,42,31,199839999,3,55,3,131,234,19,40.246582,-111.6489757,1404.953,1423.728,0.014,0.01,0.034,-0.007,0.024,0.034,270.54021,0.122,180.0,1.43,0.0
1576103714870322265,25,1576103714870059224,,2019,12,11,22,42,31,299839954,3,55,3,131,234,19,40.2465819,-111.6489757,1404.953,1423.728,0.014,0.01,-0.012,0.027,0.027,0.029,270.54021,0.122,180.0,1.43,0.0
